[2021-10-19T15:59:32.359Z]	<Nick_Meyne>	present+
[2021-10-19T15:59:32.360Z]	<Heather_Vescent>	present+
[2021-10-19T15:59:49.319Z]	<Brian_Richter>	present+
[2021-10-19T16:00:09.914Z]	<JeffO-StL>	present+
[2021-10-19T16:00:16.254Z]	<Mahmoud>	present+
[2021-10-19T16:00:22.089Z]	<Matthieu_Collé>	present+
[2021-10-19T16:00:32.223Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2021-10-19T16:00:35.252Z]	<Manu_Sporny>	present+
[2021-10-19T16:00:50.916Z]	<TallTed>	present+
[2021-10-19T16:01:19.793Z]	<Paul_Fuxjäger>	present+
[2021-10-19T16:01:42.353Z]	<mprorock>	present+
[2021-10-19T16:02:04.647Z]	<Dmitri_Z>	present+
[2021-10-19T16:02:13.272Z]	<rgrant>	present+
[2021-10-19T16:02:30.473Z]	<Geun-Hyung>	present+
[2021-10-19T16:02:56.482Z]	<Adrian_Gropper>	present+
[2021-10-19T16:02:58.014Z]	<Geun-Hyung_>	present+
[2021-10-19T16:03:22.313Z]	<mprorock>	MEETING MODERATOR: Michael Prorock <mprorock@mesur.io>
[2021-10-19T16:04:27.416Z]	<Charles_E._Lehner>	present+
[2021-10-19T16:04:53.718Z]	<Tayken_(LEF)>	present+
[2021-10-19T16:05:30.519Z]	<Phil_L_(P1)>	present+
[2021-10-19T16:05:40.209Z]	<Mahmoud>	i can go ahead and do it
[2021-10-19T16:05:46.342Z]	<Mahmoud>	scribe+
[2021-10-19T16:06:07.720Z]	<Mahmoud>	mprorock: Scribe + intro + recording started
[2021-10-19T16:06:10.945Z]	<Phil_L_(P1)>	present+
[2021-10-19T16:06:32.258Z]	<Mahmoud>	Topic: Intro/Reintro then announcements.
[2021-10-19T16:06:53.992Z]	<manu>	oh neat... co-op credentials! :)
[2021-10-19T16:06:56.322Z]	<Mahmoud>	Nick Main: Joining as observer excited to work on cooperative credential work. Representing 3 coops and excited and mroe on it later
[2021-10-19T16:07:09.945Z]	<Mahmoud>	...: Drafting work item will submit shortly
[2021-10-19T16:07:20.227Z]	<Wayne>	present+
[2021-10-19T16:08:00.441Z]	<Mahmoud>	mproromprorockk: Moving to announcements: handing to manu on ethics and conducts.
[2021-10-19T16:09:52.641Z]	<Manu_Sporny>	https://lists.w3.org/Archives/Public/public-credentials/2021Oct/0064.html
[2021-10-19T16:10:05.512Z]	<Heather_Vescent>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2021Oct/0070.html
[2021-10-19T16:10:23.911Z]	<Mahmoud>	Manu: As many know Google/Apple/Mozilla objected to DID Core formally. this led to lots of press and lots of twitter musings on motivations. We have had report on community member violating code of ethics, specifically harassment of mozilla reps based on positions they have taken. This is NOT acceptable behaviour. I dont think people meant the way your actions came across, but reminder when amplified across the number of people, so please when you engage and i suggest you do be overtly polite. Your comments may be taken in the worst possible way even if you didn't as tone doesn't translate over the internet. Please take a look at the link above for some tips. it can help you think of best way to engage
[2021-10-19T16:10:34.150Z]	<Manu_Sporny>	https://www.w3.org/Consortium/cepc/
[2021-10-19T16:10:46.646Z]	<Phil_L_(P1)>	+1 manu
[2021-10-19T16:10:54.973Z]	<Heather_Vescent>	+1 Manu
[2021-10-19T16:11:14.945Z]	<Heather_Vescent>	q+
[2021-10-19T16:11:22.020Z]	<Mahmoud>	mprorock: Sentiment Echoed.  Next Item is a work item review. As micheal herman is not here we will punt it.
[2021-10-19T16:11:32.392Z]	<mprorock>	ack Heather
[2021-10-19T16:12:08.902Z]	<mprorock>	+1 heather - getting some hands on help is always welcome
[2021-10-19T16:12:16.356Z]	<Mahmoud>	Heather: Still in process of turning the approved Work items into approved Work items, if interested in helping or reviewing, please reach out. hoping to turn it into repos by EOW
[2021-10-19T16:12:41.721Z]	<Mahmoud>	mprorock: moving to IIW Recap
[2021-10-19T16:12:52.530Z]	<manu>	Topic: IIW Recap
[2021-10-19T16:13:26.016Z]	<Tomislav_Markovski>	present+
[2021-10-19T16:14:02.901Z]	<Mahmoud>	Heather: i have a list and will try to talk about a few items and have more people chime in. 
Overall was a great IIW and that was really nice, so came in with a refreshed mindset. 
Interop and where to do it, and ecosystems working together. There were a few sessions on interop.
[2021-10-19T16:14:08.164Z]	<by_caballero>	present+
[2021-10-19T16:15:51.055Z]	<Mahmoud>	...: some with the interop out of germany. I know Tim Bouma's Project is doing interop, the Evernym folks presented as well, about showing interop between the Evernym system and using the W3C DID standard. 
There is enough tech in the space and people are doing it silos and the question is how do we interop going forward. I didn't really see a strong drive in a particular place. The DIF interop group wanted it to happen there. Here we pulled the SVIP tech that was funded for tech.
[2021-10-19T16:16:16.454Z]	<Kaliya_IdentityWoman>	present+
[2021-10-19T16:18:21.377Z]	<Mahmoud>	...: this is where i wanted to talk about the many ecosystems we have the DIF W3C trust over IP, etc etc and many standards orgs, and where are we going to be having the conversations and how will all these orgs be working together? Some are more technical and some are looking to bridge gap between tech and accessibility and so my takeaway is that i think its naive and a dream to think that all these communities would work together. I would love for them to do that but ima realist and the incentives are different and misaligned and that diversity is important. I think rather than try and collect everyone under a tent, and that while ideal in a certain way I think we're naive if we think we can be successful at it. Curious on other peoples thoughts on this whole idea of interop and ecosystems.
[2021-10-19T16:18:28.477Z]	<manu>	q+
[2021-10-19T16:18:31.664Z]	<David_Lehn>	present+
[2021-10-19T16:18:38.399Z]	<mprorock>	ack manu
[2021-10-19T16:19:06.008Z]	<by_caballero>	q+
[2021-10-19T16:19:56.884Z]	<agropper_>	q+
[2021-10-19T16:20:18.587Z]	<Heather_Vescent>	+1 to this is normal to have so many groups
[2021-10-19T16:20:27.159Z]	<Mahmoud>	Manu: I do think there's lots of truth to what you said, we'll never get everyone to one interoperability initiative or bubble. Each of these orgs have different priorities and this doesn't mean we shouldn't strive for the best. Get as broad interop as we possibly can and keep lines of communication as open as possible between these programs.
I know the Gov involvement was kind of fragmented before the past 3 years and i think some signs of things are improving. theres also signs theres new interop group coming up and i think this is new and usual state of affairs. It's super rare to have that many companies involved and dealing with interop.
[2021-10-19T16:20:47.628Z]	<by_caballero>	xkcd
[2021-10-19T16:20:54.545Z]	<by_caballero>	most shared xkcd comic of all time
[2021-10-19T16:20:56.761Z]	<manu>	https://xkcd.com/927/
[2021-10-19T16:20:56.995Z]	<mprorock>	ack by_caballero
[2021-10-19T16:21:03.347Z]	<Mahmoud>	mprorock: i agree, and i think there's definite goals theres the add-age, you start with four standards and get a fifth.
[2021-10-19T16:21:23.848Z]	<Kayode_Ezike>	present+
