[Tue 11:02:28] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Nov/0025.html
[Tue 11:06:00] <burn>	scribe: manu
[Tue 11:06:00] <burn>	chair: burn
[Tue 11:06:00] <burn>	Topic: Agenda review
[Tue 11:06:09] <voip-vctf>	Shane McCarron [SIP/callcentric.com-0000015e] has joined the conference.

[Tue 11:06:22] <manu>	burn: So, first thing up - any comments on the Agenda? One request from Anders to talk about the item he sent to the list.
[Tue 11:06:29] *	manu got you, jonnycrunch 
[Tue 11:06:39] *	amigus (~amigus@public.cloak) has joined #vctf
[Tue 11:06:43] <manu>	burn: We may timebox that for 10 minutes, before doing spec issues.
[Tue 11:07:23] <manu>	Topic: New Participants
[Tue 11:07:30] *	Matt_Larson (~Matt_Larson@public.cloak) has joined #vctf
[Tue 11:07:48] <manu>	jonnycrunch: My name is Jonathan Holt, I'm a clinical geneticist, work in biomedical informatics and plant and animal genomics. I work on the FHIR HL7 standard among other things. I am board certified in internal medicine, clinical genetics, and preventative medicine. I'm also a fellow in the American College of Medical Genetics and Genomics (ACMG). I'm very interested in verifiable claims and how it might impact the organizations and communities in which I'm involved.
[Tue 11:07:56] <ShaneM>	present+ ShaneM
[Tue 11:08:03] <voip-vctf>	12063640992 [SIP/69.65.34.216-00000160] has joined the conference.
[Tue 11:08:13] <burn>	Topic: New Location for Specs
[Tue 11:08:13] <burn>	Review new location of data model spec https://opencreds.github.io/vc-data-model/ 
[Tue 11:08:13] <burn>	and use cases https://opencreds.github.io/vc-use-cases/
[Tue 11:08:27] *	Drummond (~Drummond@public.cloak) has joined #vctf
[Tue 11:08:40] <manu>	burn: We've moved the specs to different Github repositories
[Tue 11:08:54] <manu>	burn: Is there anyone who tried to find them, but were unable to find the new specs?
[Tue 11:09:02] <manu>	q+ to mention redirects in place, issues, why we did this.
[Tue 11:09:02] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:09:14] <burn>	ack manu
[Tue 11:09:14] <voip-vctf>	manu has the floor (to mention redirects in place, issues, why we did this.).
