[Tue 11:04:55] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Sep/0000.html
[Tue 11:04:56] <dlongley>	scribe: dlongley
[Tue 11:05:16] <dlongley>	manu describes today's agenda.
[Tue 11:05:32] <dlongley>	m4nu: chris if you could give us a quick rundown of the JSON-LD discussions happening at Badge Alliance at some point during the call, that would be great.
[Tue 11:05:53] <dlongley>	m4nu: any other changes to the Agenda?
[Tue 11:05:54] <dlongley>	No changes requested.
[Tue 11:06:13] <m4nu>	Topic: Introduction of new Members
[Tue 11:06:22] *	cmcavoy (~cmcavoy@207.58.203.50) has joined #credentials
[Tue 11:06:36] <dlongley>	Evgeny: I'm from Yandex, largest search engine in Russia along with one of their largest e-commerce platform providers. I'm from their payments and identity team there. I have been participating in Web Payments Community Group for a while now and look forward to participating in the Credentials Community Group as well.
[Tue 11:07:09] <m4nu>	Topic: Quick IGF 2014 Review
[Tue 11:07:17] <m4nu>	We ran a workshop on credentials and payments at this year's IGF: https://igf2014.sched.org/event/781846f97d253b11129ee88f4dd176ff
[Tue 11:08:09] <dlongley>	m4nu: last week we met in Istanbul, Turkey with th global community, at IGF put on by UN, the point is to get policy makers, legal teams, govt officials, technologies together under the same roof to discuss issues, human rights issues, pervasive monitoring, getting next 3 billion people connected to the Web, mainly from a policy/framework standpoint not from technology.
[Tue 11:08:22] *	mediaprophet (~mediaprop@110-174-83-219.static.tpgi.com.au) has joined #credentials
[Tue 11:08:49] <dlongley>	m4nu: Mary bold, Pindar wong, and I  held a workshop along with jeremy malcom from Electronic Frontier Foundation Louise Bennett from BCS, and Norbert Bollow from Civil Society held a workshop there to get international community to chime in on the technology we're creating here specifically related to payment but also to get credentials integrated into the core of the Web.
[Tue 11:08:58] <m4nu>	voip: 8151 is Mary
[Tue 11:08:59] <voip-cr>	Mary is now associated with IAX2/diamondcard-8151.
[Tue 11:10:32] <dlongley>	m4nu: i think it went really really well, we were doing something pretty experimental, typically you have a group of 5-6 panelists talk for 60 minutes then 3 or so questions and audience experts don't get to participate etc. We changed things up to minimize the panelist talking and the rest of the time was getting audience involved to get feedback, find out what they thought about the credentialing work and what we've been doing in the payments group for the past couple of years as well as things like the badge alliance work and things in general for the Web. We were concerned that we wouldn't get engagement from the audience but that wasn't a problem at all, the audience really engaged, had great input for 90 minutes, etc.
[Tue 11:10:50] <dlongley>	m4nu: questions about how govts use creds tech, how this affects pervasive monitoring, etc
[Tue 11:11:04] <dlongley>	m4nu: almost everyone in the room said they wanted to be involved in the work we're doing here
[Tue 11:11:09] <dlongley>	m4nu: so a really great outcome.
[Tue 11:11:15] <m4nu>	Even better, the entire session was video recorded and is now up on YouTube: IGF Payment, Privacy, Policing Paradox workshop video: https://www.youtube.com/watch?v=m8cIYzy5MIA
[Tue 11:11:48] <dlongley>	m4nu: 1hr 15min long it's really interesting -- will bring you up to speed on how everything we're working on is meant to work
[Tue 11:11:58] <dlongley>	m4nu: there's an after review/workshop report we're putting together now
[Tue 11:12:05] <dlongley>	m4nu: we'll feed that input into the W3C Technical Plenary
[Tue 11:12:24] <dlongley>	m4nu: lots of people care about this around the world, we think W3C should create an official standards track tech group to take this work on.
[Tue 11:12:28] <dlongley>	m4nu: mary any additions?
[Tue 11:14:02] <dlongley>	mary: there were more than 40 people in the room, they were active. Manu and Pindar they had a very inventive presentation style. They said we weren't going to do talking heads at a panel, and they got people understanding payments, and i don't think anyone in that room felt that it was being dumbed down for them. They appreciated the steps being taken, imagining the information moving across the web from browser to website, etc. I don't think anyone took it as being super pedantic, and they took it as a good live action explanation. I think that helped make the audience engaged and the first question came in at like 10 minutes or something, it was lively presentation, questions ranged from technical down to tell me where the money is.
[Tue 11:14:11] <dlongley>	mary: i think it did its job and people will be coming back to learn more.
[Tue 11:14:18] <dlongley>	m4nu: any questions about IGF or what we'll do to follow up?
[Tue 11:14:24] <dlongley>	m4nu: or general questions about why we did it in the first place?
[Tue 11:14:47] <dlongley>	tim: do you have any strategy in place to maintain contacts?
[Tue 11:15:13] <dlongley>	m4nu: we have a list of email addresses, we'll be sending them information about how to join the creds CG and how to participate in the work and we told them we'll give them quarterly updates on the work in this group
[Tue 11:15:25] <dlongley>	m4nu: same strategy we've been following  with the Web Payments CG
[Tue 11:15:40] <dlongley>	m4nu: we send out every quarter things they might be interested in, for example, votes that they might want to participate in
[Tue 11:15:52] <dlongley>	m4nu: so invitations to join the group and information about what's going on will be going out in email
[Tue 11:16:16] <m4nu>	voip: 2912 is Tim
[Tue 11:16:16] <voip-cr>	Tim is now associated with IAX2/diamondcard-2912.
[Tue 11:16:35] <dlongley>	tim: i'm finding extraordinary interest in the education sector, for creds, some of that interest may come from those that are not technically savvy but not participating in the group.
[Tue 11:16:45] <dlongley>	tim: it's really encouraging to get the feedback
