[Tue 12:02:53] <dlongley>	scribe: dlongley
[Tue 12:04:03] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017May/0050.html
[Tue 12:02:59] <manu>	Topic: Introductions
[Tue 12:03:03] <dlongley>	Kim: I'm one of your new Chairs in this group. I work with the Blockcerts project and am a part of Learning Machine. 
[Tue 12:03:53] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-00000014] has joined the conference.
[Tue 12:03:59] <dlongley>	Harlan: I worked on the Koblitz JavaScript signatures and I was noticing and appreciating their use in block certs. Also working on TrustGraph using VC in the future, released a prototype that uses a different kind of signed claims on ethereum blockchain and I hope to integrate all of these techs into in the future.
[Tue 12:04:03] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017May/0050.html
[Tue 12:04:11] *	dlongley sure
[Tue 12:04:15] <ChristopherA>	q+
[Tue 12:04:15] <voip-vctf>	ChristopherA has been added to the queue: ChristopherA
[Tue 12:04:20] <stonematt>	Scribe: dlongley
[Tue 12:05:04] <dlongley>	Kim: Changing the agenda a bit, we have a google doc tracking the work items and Christopher started breaking that down into items the digital verification group would work on and I thought it would out more naturally if we discuss the work items first and that would inform the digital verification question more. Then leave a bit more time for reviewing the mission statement. Sound ok?
[Tue 12:05:18] <manu>	Topic: Action Item Review
[Tue 12:05:31] <dlongley>	kimhd: Let's review current items. First was creating a preliminary list of items and that's done.
[Tue 12:05:38] <dlongley>	manu: Nothing to add, that's done.
[Tue 12:05:57] <dlongley>	kimhd: Christopher to create a rough draft of credentials mission, that's to be discussed last today.
[Tue 12:05:57] <manu>	Work Items for group action item done: https://docs.google.com/document/d/1W0r6TOaJXGcDP4qOzOIEfSymub4nRSLrBmtBqyDf06I/edit
[Tue 12:06:14] <dlongley>	kimhd: Christopher to create a new proposal for how the digital verification group integrates, also tracked by the discussion today.
[Tue 12:06:25] <dlongley>	Christopher: Still a pending item, we'll have to save for next week or the week following.
[Tue 12:06:33] <dlongley>	kimhd: Let's dive into the work items for the CCG.
[Tue 12:06:34] <ChristopherA>	 https://docs.google.com/document/d/1W0r6TOaJXGcDP4qOzOIEfSymub4nRSLrBmtBqyDf06I/edit#
[Tue 12:06:48] <manu>	Topic: Future Work Items Discussion
[Tue 12:06:49] <dlongley>	kimhd: Could everyone take a second to look through those items.
[Tue 12:06:58] <manu>	Work Items for group: https://docs.google.com/document/d/1W0r6TOaJXGcDP4qOzOIEfSymub4nRSLrBmtBqyDf06I/edit#
[Tue 12:07:24] <ChristopherA>	q+
[Tue 12:07:24] <voip-vctf>	ChristopherA has been added to the queue: ChristopherA, ChristopherA
[Tue 12:07:36] <ChristopherA>	ack ChristopherA
[Tue 12:07:37] <voip-vctf>	ChristopherA isn't on the speaker queue.
[Tue 12:07:49] <ChristopherA>	q?
[Tue 12:07:49] <voip-vctf>	The current speaker queue is: ChristopherA, ChristopherA
[Tue 12:07:53] <dlongley>	kimhd: Starting with a proposal for how we go through this, talk through ambiguities, scope, etc. then next steps. This isn't a concrete proposal yet but one way to do it is to say if a topic has no champions we scratch it or someone gets the urgency to then champion it. Proposals for how to move forward and then maybe closing it down.
[Tue 12:08:02] <dlongley>	kimhd: Any questions on scope or anything you've seen on the work items?
[Tue 12:09:33] <dlongley>	ChristopherA: One of the key things that I was really hoping for was clarifying more on champion vs. supporters. People haven't articulated the difference so I want to make sure we're there. It's been my experience that in WG people will do it whether others will or not, that's a champion. They want input and to do the group process but they have energy, time, and commitment to so it. Supporters instead want to see it done but it isn't their top priority as other things might get in the way and slow it down. We have a lot of items and we may push things up but having a champion is an important part of the criteria.
[Tue 12:09:58] <kimhd>	q?
[Tue 12:09:59] <voip-vctf>	The current speaker queue is: ChristopherA, ChristopherA
[Tue 12:10:03] <dlongley>	kimhd: One thing that we should take from that is that if you are listed as a champion but you don't have intent to work on it, don't have time, etc. switch to supporter.
[Tue 12:10:03] <manu>	q+
[Tue 12:10:03] <voip-vctf>	manu has been added to the queue: ChristopherA, ChristopherA, manu
[Tue 12:10:07] <manu>	q- ChristopherA 
[Tue 12:10:07] <voip-vctf>	ChristopherA has been removed from the queue: ChristopherA, manu
[Tue 12:10:08] <manu>	q- ChristopherA 
