[2024-05-21T15:57:12.519Z]	<Kimberly_Wilson_Linson>	present+
[2024-05-21T15:57:12.520Z]	<Harrison_Tang>	present+
[2024-05-21T15:57:40.779Z]	<José_Pumahuanca_(MCN)>	present+
[2024-05-21T15:57:54.186Z]	<Jennie_M>	present+
[2024-05-21T16:00:48.003Z]	<Tim_Bloomfield>	present+
[2024-05-21T16:01:42.142Z]	<econnell>	present+
[2024-05-21T16:01:50.357Z]	<Kaliya_Identity_Woman>	present+
[2024-05-21T16:02:06.484Z]	<Brandi_Delancey>	present+
[2024-05-21T16:02:07.127Z]	<Joe_Andrieu>	present+
[2024-05-21T16:02:11.052Z]	<Mirko>	present+
[2024-05-21T16:02:16.285Z]	<Rachel_Donahue_(she/they)_-_Digital_Promise>	present+
[2024-05-21T16:02:16.877Z]	<Simone>	present+
[2024-05-21T16:02:20.943Z]	<econnell>	present+
[2024-05-21T16:02:45.597Z]	<pauld_gs1>	present+
[2024-05-21T16:02:50.619Z]	<Transcriber>	scribe+
[2024-05-21T16:02:50.619Z]	<Transcriber>	Meeting: weekly
[2024-05-21T16:02:59.228Z]	<Alex_H>	present+
[2024-05-21T16:03:21.129Z]	<Transcriber>	Harrison_Tang: Hello everyone uh welcome to this week's w3c meeting today we're excited to have Miracle Lucy Clea uh and Torsten to actually talk about credentials format comparison um but before then just want to quickly go through the.
[2024-05-21T16:03:33.709Z]	<Transcriber>	Harrison_Tang: So first of all just a quick reminder on the code of ethics and professional conduct uh just want to make sure that uh we hold constructive conversations and respectful conversations here.
[2024-05-21T16:03:47.810Z]	<Transcriber>	Harrison_Tang: Next a quick intellectual property note uh anyone can participate in these calls however all substantive contributions to the ccg work items must be member of the ccg with full IP agreements signed.
[2024-05-21T16:03:56.012Z]	<Transcriber>	Harrison_Tang: So you have any questions in regards to getting your w3c account or the agreement uh just let any of the cultures know.
[2024-05-21T16:04:10.639Z]	<Transcriber>	Harrison_Tang: Next are these meetings are automatically recorded and transcribed and uh we will publish uh these meeting minutes and all the recordings and video recordings in the next uh 1 or 2 days.
[2024-05-21T16:04:12.715Z]	<Leo>	present+
[2024-05-21T16:04:13.015Z]	<Dmitri_Zagidulin>	present+
