[Tue 11:04:59] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Oct/0041.html
[Tue 11:05:19] <dlongley>	scribe: dlongley
[Tue 11:05:35] <dlongley>	m4nu: Anything to add to the agenda?
[Tue 11:05:38] *	marybold (322ed9aa@gateway/web/freenode/ip.50.46.217.170) has joined #credentials
[Tue 11:05:44] <dlongley>	No additions to agenda.
[Tue 11:05:44] <dlongley>	Mark: In transit today, can't scribe, but invited Dale to the call.
[Tue 11:05:55] <m4nu>	voip: 11169 is Dale
[Tue 11:05:56] <voip-cr>	Dale is now associated with IAX2/diamondcard-11169.
[Tue 11:06:19] <dlongley>	m4nu: Dale, would you mind giving a quick intro?
[Tue 11:06:26] <m4nu>	Topic: Intro from Dale McCrory from Courseload
[Tue 11:08:18] <dlongley>	dale: In the enterprise space, for 8-9 years, historically, I've been in the integration space, as the principle ? manager for tech sales force. The 360-degree view of an individual was important for us. How you bring together information about an individual who has a lot of different online identities was an important question. As directory of production management, "how do we follow educational experiences, etc. as they move around, eg: if one person comes back at 20s, 30s, and 50s getting an education there's no easy way to coordinate that. Identity is really important."
[Tue 11:08:20] *	Nate (47edaa31@gateway/web/freenode/ip.71.237.170.49) has joined #credentials
[Tue 11:08:30] <m4nu>	voip: 788 is Nate
[Tue 11:08:31] <voip-cr>	Nate is now associated with IAX2/diamondcard-788.
[Tue 11:08:44] *	Nate is now known as Guest83193
[Tue 11:08:48] <m4nu>	voip: connection?
[Tue 11:08:49] <dlongley>	m4nu: Thanks for the intro, Dale. We loved hearing it, lots of stuff in common with what we're working on here.
[Tue 11:09:09] <dlongley>	m4nu: Nate, could you give a quick intro?
[Tue 11:09:13] <m4nu>	Topic: Introduction to Nate Otto from Concentric Sky
[Tue 11:09:39] <dlongley>	nate: I come here from the Open Badges community. I've been working with them for 2 years. I just took a job with Concentric Sky to work on badges.

[Tue 11:09:56] <dlongley>	m4nu: For those that don't know, Nate is working on badges/JSON-LD/etc and is very active in the community.
[Tue 11:10:50] <dlongley>	m4nu: Today's Agenda is mostly about prep-work for W3C TPAC next week.
[Tue 11:10:50] <m4nu>	Topic: Review Credentials CG Presentation to Web Payments IG
[Tue 11:10:52] *	Guest83193 is now known as NateOtto
[Tue 11:12:09] <m4nu>	http://opencreds.org/presentations/2014/tpac-wpig-ccg/
[Tue 11:13:22] <dlongley>	m4nu: This is a very rough draft of a presentation we're doing on Monday to the WPIG. We're trying to convince W3C that credentialing should be taken standards track sooner rather than later. Before we talk about the proposals we have on the table we need to make the case to the W3C membership. TPAC is happening next week in Santa Clara, CA. We're going to take every advantage we can to make the case for Credentials. Our first presentation will be at noon.
[Tue 11:13:36] <dlongley>	m4nu: We're trying to get people interested in the Credentials CG as well.
[Tue 11:14:16] <dlongley>	m4nu: We're taking this approach because of KYC and anti-money laundering is an important problem to solve on the Web and in finance in general, we have people from the education space on the call today and we're also looking at it from healthcare, and if we can get those 3 verticals on the same page that would be great.
[Tue 11:14:28] <dlongley>	m4nu: The presentation is designed to be a very high-level overview of credentials and badging.
[Tue 11:14:51] <dlongley>	m4nu: The second slide we just define what a credential is, that's the definition the CG agreed to in the charter.
[Tue 11:15:13] <dlongley>	m4nu: I talked to Sunny Lee and Chris McAvoy about the video that's in the presentation, etc. we'll talk about Badge Alliance.
[Tue 11:15:24] <dlongley>	m4nu: ACDT will talk about high stakes credentials and signatures, etc.
[Tue 11:15:39] <dlongley>	m4nu: We'll have ETS talk about how they are a big player in this space and they want it to succeed, etc.
[Tue 11:15:51] <dlongley>	m4nu: We're outlining that there's a really strong desire from the educational space to make this work.
[Tue 11:16:03] <dlongley>	m4nu: We don't have to talk about the financial space because those people will be there and know of the issues.
[Tue 11:16:14] <dlongley>	m4nu: The healthcare people should be able to put two and two together from that.
[Tue 11:16:34] <dlongley>	m4nu: I've got some details about the CCG there -- transparency, that we discuss tech/specs, etc.
[Tue 11:16:42] <dlongley>	m4nu: Just to get people to understand what the CG works on.
[Tue 11:16:53] <dlongley>	m4nu: Does anyone feel uncomfortable with the order or what we're presenting?
[Tue 11:17:05] <dlongley>	nate: Is someone from ETS going to be presenting with you?
[Tue 11:17:16] <dlongley>	m4nu: Bill Gebhart from ETS will be presenting
[Tue 11:18:03] <dlongley>	m4nu: The other folks we'll have in the room will be from, for example, Bloomberg, National Association of Convenience Stores, others I can't mention, about 50 people in the room, about 70% of top tech companies in the world will be in the room.
[Tue 11:18:33] <dlongley>	m4nu: Next slide covers history and where the specs come from, etc. I should add the Badge Alliance there.
[Tue 11:18:33] <NateOtto>	To do: add Badge Alliance founding (Feb 2014) to Brief History slide
[Tue 11:19:04] <dlongley>	m4nu: Next slide we outline clear, narrow focus, don't want to "solve the whole identity on the Web problem."
[Tue 11:19:23] <dlongley>	m4nu: That means different things to different people and there's a rich history of failure around those sorts of initiatives. We want to keep our focus tight.
[Tue 11:19:40] <dlongley>	m4nu: Next we talk about design criteria and link to use cases.
[Tue 11:20:10] <dlongley>	m4nu: Then we show the technology stack we're using today.
[Tue 11:20:19] <dlongley>	m4nu: Anything not clear?
[Tue 11:20:28] <dlongley>	Group feels the presentation is acceptable, but images can't be viewed in recent version of Google Chrome.
[Tue 11:21:50] <dmccrory>	I can't see them either (and in Chrome)
[Tue 11:22:27] <m4nu>	Direct links to images - tech stack: http://opencreds.org/presentations/2014/tpac-wpig-ccg/images/technologyStack.svg
[Tue 11:22:43] <m4nu>	collaborators: http://opencreds.org/presentations/2014/tpac-wpig-ccg/images/collaborators.svg
[Tue 11:24:26] <dlongley> dlongley: "modelling" is mispelled i think (should be 1 L)
[Tue 11:25:33] <dlongley>	m4nu: We didn't want to list any organizations that we're working with yet that we haven't had a discussion about putting their information up there.
[Tue 11:26:34] <dlongley>	m4nu: Any concerns about collaborators or what's in the diagram/what's missing?
[Tue 11:26:49] <dlongley>	m4nu: Keep in mind we can have input on these slides up until Friday.
[Tue 11:27:29] <dlongley>	m4nu: Next slide is about what information CCG will feed into WPIG.
[Tue 11:28:00] <dlongley>	m4nu: We'll also continue to experiment with pre-standards tech and do outreach.
[Tue 11:28:24] <dlongley>	m4nu: Slide 13 is just a high-level ... "where do you want to go from here?" We have options for discussion.
[Tue 11:29:05] <dlongley>	m4nu: We could look at use cases, specs, demos, input from IGF.
[Tue 11:29:15] <NateOtto>	Manu, for slide 13, you mentioned you needed to put in an open badges demo. Let me know if you need help figuring out what to put there.
[Tue 11:30:19] <dlongley>	m4nu: Please send me some links for Badge Alliance stuff ... info packed and shorter is better.
[Tue 11:30:34] <dlongley>	m4nu: Send whatever you think is best, pull Sunny and Chris in maybe and figure out what you guys want in there.
[Tue 11:30:46] <NateOtto>	Cool, will talk to them and get back to you in a couple days.
[Tue 11:31:08] <dlongley>	m4nu: So we'll fix the image issues, link to some more Open Badge/Badge Alliance demos, specs, etc.
[Tue 11:31:28] <dlongley>	m4nu: If anyone thinks of anything between now and Friday please send it to the mailing list so we can get the changes in ASAP.
[Tue 11:31:08] <dlongley>	m4nu: Bill, we need input from ETS wrt. the presentation, we'll do that offline.
[Tue 11:31:08] <dlongley>	Bill: Ok, sounds good.
[Tue 11:31:33] <m4nu>	Topic: Review Credentials CG F2F Agenda
