[2023-02-07T16:57:36.369Z]	<Jennie_Meier>	present+
[2023-02-07T16:57:36.370Z]	<Keith_Kowal>	present+
[2023-02-07T16:57:36.370Z]	<Rebal>	present+
[2023-02-07T16:57:36.370Z]	<Harrison_Tang>	present+
[2023-02-07T16:57:51.834Z]	<Rebal>	present+
[2023-02-07T16:58:06.324Z]	<Jack>	present+
[2023-02-07T16:59:01.774Z]	<Sandy_Aggarwal>	present+
[2023-02-07T16:59:04.118Z]	<Bryan_Luisana>	present+
[2023-02-07T16:59:07.794Z]	<Gregory_Natran>	present+
[2023-02-07T16:59:15.606Z]	<Anil_John_[US/DHS/SVIP]>	present+
[2023-02-07T16:59:29.241Z]	<Kaliya_Identity_Woman>	present+
[2023-02-07T16:59:51.743Z]	<Will>	present+
[2023-02-07T16:59:51.935Z]	<econnell>	present+
[2023-02-07T16:59:58.192Z]	<Jeff_O_-_HumanOS>	present+
[2023-02-07T17:00:14.106Z]	<Andres>	present+
[2023-02-07T17:00:24.066Z]	<Sharon_Leu>	present+
[2023-02-07T17:00:31.295Z]	<Kerri_Lemoie>	present+
[2023-02-07T17:00:34.442Z]	<Andrew_Whitehead>	present+
[2023-02-07T17:00:44.372Z]	<David_Lehn>	present+
[2023-02-07T17:00:44.736Z]	<Stuart_Freeman>	present+
[2023-02-07T17:00:44.997Z]	<John_Kuo>	present+
[2023-02-07T17:01:07.190Z]	<Harrison_Tang>	We'll start in a minute
[2023-02-07T17:01:07.757Z]	<George_Lund_(GDS)>	present+
[2023-02-07T17:01:17.863Z]	<econnell>	present+
[2023-02-07T17:01:22.006Z]	<Dmitri_Zagidulin>	present+
[2023-02-07T17:01:42.047Z]	<Manu_Sporny>	present+
[2023-02-07T17:01:42.129Z]	<Nate_Otto>	present+
[2023-02-07T17:01:52.468Z]	<Marty_Reed>	present+
[2023-02-07T17:01:52.602Z]	<Phil_L_(P1)>	present+
[2023-02-07T17:02:01.776Z]	<Transcriber>	scribe+
[2023-02-07T17:02:01.777Z]	<Transcriber>	Meeting: weekly
[2023-02-07T17:02:41.949Z]	<Transcriber>	Harrison_Tang: So thanks for attending everyone will start this week's w3c ccg meeting today are we are pleased to invite the Jack and rebel from tomomi Foundation to lead and present on the topic of multi signature verifiable credentials and conditional proofs but before we get to the main agenda just want to remind everyone to couple.
[2023-02-07T17:02:57.401Z]	<John_Kuo>	Could Rebal mute please?
[2023-02-07T17:03:15.576Z]	<Transcriber>	Harrison_Tang: It's tough so the first thing is the code of ethics of professional conduct just want to make sure that we hold a respectful conversation and we pay respect respectful to each other quick IP note anyone can participate in these calls however all substantive contributions to any CG work items must be members of the ccg with for IP our agreement signed make sure you have a copy 3C account and if you encounter.
[2023-02-07T17:03:16.089Z]	<Transcriber>	Harrison_Tang:  any issues feel free to contact me or any of the colors.
[2023-02-07T17:03:24.730Z]	<ChristopherA>	present+
[2023-02-07T17:03:26.042Z]	<Transcriber>	Harrison_Tang: I will send you the link and the links are also included in the email agendas I said every week.
[2023-02-07T17:03:34.073Z]	<Brian_Richter>	present+
[2023-02-07T17:03:37.336Z]	<Joe_Andrieu>	present+
[2023-02-07T17:03:46.461Z]	<Orie>	present+
[2023-02-07T17:03:49.394Z]	<Transcriber>	Harrison_Tang: Quick call notes these are meetings are being recorded and the meeting minutes are an audio recordings can be found in our GitHub link and we usually get out these transcriptions everything within the same week if you have any questions on that just let me know.
[2023-02-07T17:03:49.710Z]	<Transcriber>	Harrison_Tang:  we used to have.
[2023-02-07T17:03:57.370Z]	<econnell>	present+
[2023-02-07T17:04:11.925Z]	<Transcriber>	Harrison_Tang: Uh GT chat to Q speakers so you have any questions just typing cute plus to add yourself to the Q where Q - to remove that and yes and you can do a Q&A question mark to see a who is in the cube.
[2023-02-07T17:04:12.326Z]	<Transcriber>	Harrison_Tang:  all right.
[2023-02-07T17:04:22.129Z]	<James_Chartrand>	present+
[2023-02-07T17:04:22.835Z]	<Transcriber>	Harrison_Tang: That introductions and reintroduction so you're new to the community or you haven't been active and once you introduce yourself please feel free to unmute.
[2023-02-07T17:04:41.861Z]	<Transcriber>	Harrison_Tang: Okay I'll call I'll leave about 23 minutes for at the end of the meaning for introductions reintroductions as well.
[2023-02-07T17:04:45.654Z]	<Transcriber>	Harrison_Tang: Any announcements were reminders.
[2023-02-07T17:04:51.632Z]	<Leo>	present+
[2023-02-07T17:05:00.937Z]	<Transcriber>	Harrison_Tang: Haemon you please.
[2023-02-07T17:05:26.960Z]	<Transcriber>	Manu_Sporny: Thanks Harrison I'm going to share a couple of things so the first note is that the verifiable credentials working group face-to-face meeting in Miami is now at capacity so we can't take any more folks in person we were at the limit to what the room can hold but you can still attend.
[2023-02-07T17:05:27.267Z]	<Transcriber>	Manu_Sporny:  motely if you'd like.
[2023-02-07T17:05:54.783Z]	<James_Chartrand>	present+
[2023-02-07T17:05:58.339Z]	<Transcriber>	Manu_Sporny: You just need to talk with the chairs to do that the agenda has been published and this is this is the agenda which is public we're going to be talking about holder binding media types content types and how they recite we relate to VC J WS cozy those kinds of things.
[2023-02-07T17:05:58.874Z]	<Transcriber>	Manu_Sporny:  we're going to be talking.
[2023-02-07T17:06:16.629Z]	<Anil_John_[US/DHS/SVIP]>	present+
[2023-02-07T17:06:29.557Z]	<Transcriber>	Manu_Sporny: Points like evidence status list rendering terms of use we're going to be talking about terminology that's day 1 Day 2 will be verifiable credential data integrity and the crypto sweets around that as well as VC jot and then some issue processing and then day 3 will be a discussion around whether or not at context is going to be optional or not some industry news which will.
[2023-02-07T17:06:29.963Z]	<Transcriber>	Manu_Sporny:  more than likely.
[2023-02-07T17:06:31.997Z]	<Paul_Dietrich_GS1>	present+
[2023-02-07T17:06:43.249Z]	<Transcriber>	Manu_Sporny: Be off the Record so that people can share more about around what's happening so that we can all hopefully coordinate things that are going on and then.
[2023-02-07T17:07:02.732Z]	<Manu_Sporny>	VCWG F2F Agenda: https://docs.google.com/spreadsheets/d/1c16F5VOwIFvCrZRPzwUHSw2LvpJQRQGFGJtDv2xC_OM/edit#gid=0
[2023-02-07T17:07:15.212Z]	<Transcriber>	Manu_Sporny: You processing and then closing out with deliverables the things that we believe we are going to be able to accomplish so that's the agenda it's on the public mailing list I can put the agenda here in the chat Channel b c WG F 2f agenda so that's that and then second announcement is and give me a second I've got to find a.
[2023-02-07T17:07:15.650Z]	<Transcriber>	Manu_Sporny:  window that's going to be difficult.
[2023-02-07T17:07:16.342Z]	<Kayode_Ezike>	present+
[2023-02-07T17:07:26.876Z]	<Transcriber>	Manu_Sporny: Apologies I've lost it.
[2023-02-07T17:07:32.334Z]	<Transcriber>	Manu_Sporny: Has to do with the.
[2023-02-07T17:07:40.692Z]	<ChristopherA>	@manu, is there any agenda on selective disclosure (in particular hash-based like SD-JWT and JSON-LD Merkle?
[2023-02-07T17:07:48.555Z]	<Kimberly_Linson>	present+
[2023-02-07T17:08:03.300Z]	<Transcriber>	Manu_Sporny: The announcements around like all the things that are going on in the working group so basically every week we get a list of things that the working group has been working on in as you might have seen that list is getting longer and longer.
