[Tue 11:04:56] <burn>	Scribe: burn
[Tue 11:05:50] <burn>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Jan/0046.html
[Tue 11:06:02] <burn>	Topic:  Agenda Review and Introductions
[Tue 11:06:27] <stonematt>	voip: connections?
[Tue 11:06:28] <voip-vctf>	Conference participants are: JoeAndrieu [SIP/69.65.34.216-0000009a], John Tibbetts [SIP/sip2sip.info-0000009b], DanBurnett [SIP/69.65.34.216-0000009c], Manu Sporny [SIP/6000-0000009d], Gregg Kellogg [SIP/10.0.1.174-0000009e], amigus [SIP/69.65.34.216-0000009f], RichardVarn [SIP/69.65.34.216-000000a0], GropperGropper [SIP/69.65.34.216-000000a1], JonnyCrunch [SIP/69.65.34.216-000000a2], ottonomy [SIP/69.65.34.216-000000a3], Matt Stone
[Tue 11:06:28] <voip-vctf>	[SIP/sip.linphone.org-000000a6], ShaneM [SIP/callcentric.com-000000a7].
[Tue 11:06:33] <voip-vctf>	Adam Lake [SIP/66.37.89.86-000000a9] has joined the conference.
[Tue 11:06:50] <burn>	burn: want to give heads up about starting requirements at some point on the call
[Tue 11:07:00] *	erkorb_rm (~eric.korb@public.cloak) has joined #vctf
[Tue 11:07:26] <voip-vctf>	Adam Lake [SIP/66.37.89.86-000000a9] has left the conference.
[Tue 11:07:34] <voip-vctf>	Adam Lake [SIP/66.37.89.86-000000aa] has joined the conference.
[Tue 11:07:40] <voip-vctf>	19082515759 [SIP/69.65.34.216-000000ab] has joined the conference.
[Tue 11:07:56] <stonematt>	burn: will start a process to move from use cases to requirements
[Tue 11:08:05] <stonematt>	burn: look for email this week.
[Tue 11:08:22] <stonematt>	burn: purpose it to focus on the work on datamodel and syntax document
[Tue 11:08:56] <burn>	Topic: Status of Verifiable Claims WG creation
[Tue 11:09:18] <voip-vctf>	Dave Longley [SIP/6002-000000ac] has joined the conference.
[Tue 11:09:23] <burn>	manu: no update.  Chairs should reach out and take over getting updates from them.
[Tue 11:09:42] <burn>	... Wendy Seltzer, Phil Archer, and Dave Raggett.  Will put you in touch with them.
[Tue 11:10:01] <burn>	Topic: Possible VCWG F2F week of March 21st 2017

[Tue 11:11:20] <burn>	manu: considering March 21st because of other groups meeting in Chicago that week (payments, etc.).  Proposal is to tack onto the beginning of their week.  VCWG, then Web Payments IG (incl. digital offers), then Web Payments WG
[Tue 11:12:02] <burn>	... would be Tue/Wed for most of us, then payments for others.  if we want to do this, we need to announce and get a venue.  Does group want to commit to meeting then?
[Tue 11:12:07] <ShaneM>	There might be another venue option too - dezell had some ideas.
[Tue 11:12:14] <ottonomy>	Is w3c membership required for this proposed meeting?
[Tue 11:12:34] <burn>	Joe:  is meeting open to the public?
[Tue 11:12:45] <burn>	manu:  no, member only.
[Tue 11:13:01] <burn>	matt: chairs can make exceptions for guests/visitors
[Tue 11:13:45] <burn>	manu:  the policy for Invited Experts has changed recently.  Verify with W3C.  IPR concerns are always an issue.
[Tue 11:14:19] <burn>	... can ask, but may be difficult.
[Tue 11:14:56] <manu>	burn: This is one of the reasons for future meetings like this, we may want to do this, future decision, we need to start planning process earlier. If we're always going to be meeting w/ WPIG, we need to work with them for determination of dates.
[Tue 11:15:16] <stonematt>	burn: for future meetings, we need to start planning sooner.  And coordinate w/ the Payments group if we're going to generally align dates
[Tue 11:16:24] <stonematt>	manu: this is as soon as we could do begin in this case.  payments just announced
[Tue 11:16:35] <manu>	burn: Don't want this to be a surprise in the future, we need to have a meeting when the VCWG forms, we need to know about this stuff as early as possible.
[Tue 11:16:52] <stonematt>	burn: thought our group was going to be a "public" group.
[Tue 11:17:07] <ottonomy>	Alternative: Digital Badges & Credentials Summit in Orlando, Feb 28, open to the public, but part of IMS Digital Badges & Credentials initiative, to be followed by other meetings that are limited to IMS members..
[Tue 11:18:13] <ottonomy>	We could probably get free space Wednesday March 1 during the Open Badges Community meeting, which is looking sparsely attended. Good chance this group would be welcome if we move quickly.
[Tue 11:18:19] <ottonomy>	https://www.imsglobal.org/event/ims-february-2017-quarterly-meeting-and-summit-digital-credentials-and-badges
[Tue 11:18:33] <gkellogg>	q+
[Tue 11:18:33] <voip-vctf>	gkellogg has been added to the queue: gkellogg
[Tue 11:18:49] <stonematt>	ack gkellogg
[Tue 11:18:49] <voip-vctf>	gkellogg has the floor.
[Tue 11:18:55] <stonematt>	q?
[Tue 11:18:55] <voip-vctf>	The speaker queue is empty.
[Tue 11:19:12] <burn>	gkellogg: what about policiies around the mailing list(s)?  Have they changed?
[Tue 11:19:35] <stonematt>	q?
[Tue 11:19:35] <voip-vctf>	The speaker queue is empty.
[Tue 11:19:38] <burn>	manu:  not that I know of.  The are member-only lists for IPR-related discussions, but not for the general list.
[Tue 11:19:51] <ShaneM>	q+ to talk about contributions
[Tue 11:19:51] <voip-vctf>	ShaneM has been added to the queue: ShaneM
[Tue 11:20:01] <stonematt>	ack ShaneM
[Tue 11:20:01] <voip-vctf>	ShaneM has the floor (to talk about contributions).
[Tue 11:20:02] <burn>	gkellogg:  if we encourage the use of email then that gives us an opportunity to be fairly open.
[Tue 11:20:09] <stonematt>	q?
[Tue 11:20:09] <voip-vctf>	The speaker queue is empty.
[Tue 11:20:48] <burn>	shane: it is not just the monetary value of members.  There are also IPR commitments that are needed.
[Tue 11:21:05] <burn>	... W3C is concerned about this.
[Tue 11:21:25] <stonematt>	voip: connections
[Tue 11:21:25] <voip-vctf>	Conference participants are: JoeAndrieu [SIP/69.65.34.216-0000009a], John Tibbetts [SIP/sip2sip.info-0000009b], DanBurnett [SIP/69.65.34.216-0000009c], Manu Sporny [SIP/6000-0000009d], Gregg Kellogg [SIP/10.0.1.174-0000009e], amigus [SIP/69.65.34.216-0000009f], RichardVarn [SIP/69.65.34.216-000000a0], GropperGropper [SIP/69.65.34.216-000000a1], JonnyCrunch [SIP/69.65.34.216-000000a2], ottonomy [SIP/69.65.34.216-000000a3], Matt Stone
[Tue 11:21:25] <voip-vctf>	[SIP/sip.linphone.org-000000a6], ShaneM [SIP/callcentric.com-000000a7], Adam Lake [SIP/66.37.89.86-000000aa], 19082515759 [SIP/69.65.34.216-000000ab], Dave Longley [SIP/6002-000000ac].
[Tue 11:22:32] <stonematt>	voip: 0ab is Korb
[Tue 11:22:32] <voip-vctf>	Associated Korb with SIP/69.65.34.216-000000ab.
[Tue 11:23:05] *	ottonomy has quit ("My MacBook Pro has gone to sleep. ZZZzzz…")
[Tue 11:23:12] <stonematt>	q?
[Tue 11:23:12] <voip-vctf>	The speaker queue is empty.
[Tue 11:23:14] *	manu +1 for Chicago meeting.
[Tue 11:23:26] <burn>	burn: yes, the chairs will be monitoring visitors to ensure that comments from them do not cause potential IPR risks for others.  Contributions will have to satisfy W3C IPR disclosure requirements.
[Tue 11:23:50] <ShaneM>	+1 for a meeting on 21 March in Chicago.
[Tue 11:23:50] <burn>	shane:  is it okay with Staff Contact for us to have such a meeting?  Can they attend?
[Tue 11:23:52] <stonematt>	todo: (chair) confirm/coordinate w/ staff contact can participate
[Tue 11:24:10] <burn>	Action: Chairs to verify with Staff contacts that meeting is okay and they can attend.
[Tue 11:24:28] <gkellogg>	+1
[Tue 11:24:31] <JohnTib>	unsure of attendance at this time
[Tue 11:24:31] <ShaneM>	+1
[Tue 11:24:33] <manu>	+1 for Chicago meeting VCWG
[Tue 11:24:39] <stonematt>	+1 for Chicago
[Tue 11:24:39] <burn>	stonematt:  who thinsk we shoudl have this meeting?
[Tue 11:24:46] <stonematt>	q?
[Tue 11:24:46] <voip-vctf>	The speaker queue is empty.
[Tue 11:24:47] <adamlake>	+1
[Tue 11:24:53] <agropper>	busy
[Tue 11:25:16] <burn>	stonematt:  any objections?
[Tue 11:25:19] <agropper>	-1
[Tue 11:25:23] <jonnycrunch>	abstain, not a member yet.
[Tue 11:25:31] <JohnTib>	+1 for having a meeting; ? if I can attend
[Tue 11:25:37] <ShaneM>	(I note that I am happy meeting another time - this was just convenient and it was my idea)
[Tue 11:25:51] <stonematt>	q?
[Tue 11:25:51] <voip-vctf>	The speaker queue is empty.
[Tue 11:26:05] <burn>	burn:  we will also verify on the list for those who are not on today's call.
[Tue 11:26:40] <burn>	stonematt:  there is sufficient interest for us to contact Staff Contacts about this.
[Tue 11:27:14] <jonnycrunch>	I'm still trying to convince the ABMS to become a member.  If unsuccessful, I will consider joining myself.
[Tue 11:26:50] <burn>	Topic: Use Cases Framework Discussion
[Tue 11:27:07] <stonematt>	q?
[Tue 11:27:07] <voip-vctf>	The speaker queue is empty.
[Tue 11:27:32] <burn>	joe: last week we focused on the prescription use case.  questions came up about privacy.
[Tue 11:27:35] <JoeAndrieu>	http://nvlpubs.nist.gov/nistpubs/ir/2017/NIST.IR.8062.pdf
[Tue 11:27:41] *	stonematt thanks jonnycrunch
[Tue 11:28:00] <burn>	joe: we will discuss privacy engineering around this use case today.
[Tue 11:28:10] <burn>	... anyone familiar with this approach?
[Tue 11:28:29] <amigus>	me
[Tue 11:28:29] <stonematt>	q?
[Tue 11:28:29] <voip-vctf>	The speaker queue is empty.
[Tue 11:28:30] <burn>	amigus: yes, I am
[Tue 11:28:35] *	dlongley Adam Migus
[Tue 11:29:34] <stonematt>	q?
[Tue 11:29:35] <voip-vctf>	The speaker queue is empty.
[Tue 11:30:07] <voip-vctf>	David I. Lehn [SIP/6003-000000ad] has joined the conference.
[Tue 11:30:39] <burn>	... reading Gropper's use case, what are the domains in this use case and what is available for correlation across those domains.
[Tue 11:30:39] *	manu the feedback is adam migus
[Tue 11:31:27] <burn>	... there are phyiscian, patient, pharmacist, deliverer, state monitoring service,
[Tue 11:31:40] <burn>	... adam, are these the entities?
[Tue 11:32:02] <stonematt>	q?
[Tue 11:32:02] <voip-vctf>	The speaker queue is empty.
[Tue 11:32:35] <burn>	john:  sometimes it would be service and sometimes a person who would reviewer.  The PVMP is a registry, the physician is a person.
[Tue 11:33:03] <burn>	joe: (missed)
[Tue 11:33:08] <jonnycrunch>	Rx monitoring is a service, but Dr. needs to review the Rx history for the patient.
[Tue 11:33:17] <stonematt>	q?
[Tue 11:33:17] <voip-vctf>	The speaker queue is empty.
[Tue 11:33:19] <voip-vctf>	Adam Lake [SIP/66.37.89.86-000000aa] has left the conference.
[Tue 11:33:31] <voip-vctf>	Adam Lake [SIP/66.37.89.86-000000ae] has joined the conference.
