[2024-06-24T14:58:24.259Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0003.html
[2024-06-24T14:58:25.259Z]	<Ildiko_Mazar>	present+
[2024-06-24T14:58:25.257Z]	<Dmitri_Zagidulin>	present+
[2024-06-24T14:58:26.402Z]	<Naomi>	present+
[2024-06-24T15:00:16.041Z]	<Stuart_Freeman>	present+
[2024-06-24T15:00:37.306Z]	<Alex_H>	present+
[2024-06-24T15:00:39.708Z]	<Andy_Griebel>	present+
[2024-06-24T15:00:50.588Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-06-24T15:01:18.575Z]	<Geun-Hyung>	present+
[2024-06-24T15:01:25.884Z]	<Michal_Jarmolkowicz>	present+
[2024-06-24T15:01:30.283Z]	<Eugene>	present+
[2024-06-24T15:02:12.206Z]	<Phil_Barker>	present+
[2024-06-24T15:02:28.814Z]	<Transcriber>	scribe+
[2024-06-24T15:02:28.815Z]	<Transcriber>	Meeting: education
[2024-06-24T15:03:12.202Z]	<Juan>	present+
[2024-06-24T15:03:30.587Z]	<Transcriber>	Juan: Can you hear me.
[2024-06-24T15:04:30.039Z]	<Transcriber>	Juan: Just in case anyone is talking I cannot hear anyone.
[2024-06-24T15:04:32.911Z]	<Rajesh>	present+
[2024-06-24T15:04:41.462Z]	<Transcriber>	Juan: Thank you so much yes that's reassuring to know that I have no issue with the audio thank you.
[2024-06-24T15:04:45.901Z]	<Transcriber>	Dmitri_Zagidulin: Welcome everyone uh I think I was I was muted.
[2024-06-24T15:04:46.205Z]	<Transcriber>	Dmitri_Zagidulin:  all right.
[2024-06-24T15:04:50.738Z]	<Keith_Hackett>	present+
[2024-06-24T15:04:53.487Z]	<Transcriber>	Dmitri_Zagidulin: Welcome everyone to the weekly uh VC Edge call.
[2024-06-24T15:05:02.034Z]	<Transcriber>	Dmitri_Zagidulin: These calls are recorded anyone can participate in the calls you do not need a w3c account however to make any substantive contributions.
[2024-06-24T15:05:15.321Z]	<Phil_Barker>	present+
[2024-06-24T15:05:18.587Z]	<Transcriber>	Dmitri_Zagidulin: Uh to any of the specifications you do have to be a member of the ccg and sign uh IPR agreement so if you haven't done that and you want to contribute please let us know reach out to myself or to ildo or to Simone and we'll set you up.
[2024-06-24T15:05:26.085Z]	<Transcriber>	Dmitri_Zagidulin: Uh The Columns are recorded and transcribed uh Auto transcribed and the.
[2024-06-24T15:05:31.602Z]	<Transcriber>	Dmitri_Zagidulin: Available at the ccg uh GitHub repo.
[2024-06-24T15:05:38.358Z]	<Rajesh>	present+
[2024-06-24T15:05:45.091Z]	<Transcriber>	Dmitri_Zagidulin: We use a queuing system so uh click on the raise raise your hand icon in uh the jitsui or type Q Plus in the chat and it'll uh it should queue you up.
[2024-06-24T15:06:00.592Z]	<Transcriber>	Dmitri_Zagidulin: Let's uh let's do introductions and reintroductions does anyone new here and would like to introduce themselves uh go ahead and type Q Plus or raise your hand.
[2024-06-24T15:06:06.798Z]	<Mahesh_Balan_-_pocketcred.com>	present+
[2024-06-24T15:06:10.093Z]	<Transcriber>	Dmitri_Zagidulin: Or if anybody hasn't uh introduced themselves in a while uh go ahead Juan.
[2024-06-24T15:06:24.145Z]	<Transcriber>	Juan: Yes good afternoon Juan carvio here from C and being part of also the neon team that is working on on exploring the utilization of wallets within the educational sector.
[2024-06-24T15:06:24.300Z]	<Stuart_Freeman>	present+
[2024-06-24T15:06:31.189Z]	<Transcriber>	Juan: I work as an aspiring designer architecture manager within the couch University in Saudi Arabia.
