[Tue 12:04:14] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Jun/0058.html
[Tue 12:04:16] *	manu scribe?
[Tue 12:04:24] <manu>	Topic: Introductions
[Tue 12:04:35] <voip-vctf>	tensor5 [SIP/sip.voipcheap.com-00000098] has left the conference.
[Tue 12:04:51] *	dlongley who's here?
[Tue 12:04:58] <voip-vctf>	12066188530 [SIP/69.65.34.216-00000099] has joined the conference.
[Tue 12:05:32] *	Drummond (~Drummond@public.cloak) has joined #vctf
[Tue 12:05:33] <manu>	scribe: manu
[Tue 12:06:01] <manu>	Frederico: Hi, co-founder of BigChainDB - self-sovereign distributed identity system, we've been participating in Rebooting Web of Trust. I'm interested in Verifiable Claims.
[Tue 12:06:04] <voip-vctf>	18057058651 [SIP/69.65.34.216-0000009a] has joined the conference.
[Tue 12:06:21] *	SeanBohan_Evernym (~SeanBohan_Evernym@public.cloak) has joined #vctf
[Tue 12:06:30] <voip-vctf>	Associated Drummond Reed with SIP/69.65.34.216-00000099.
[Tue 12:06:31] <Drummond>	+1 to "reintroductions"
[Tue 12:07:09] <Drummond>	thanks Dave. Man, I need a cheat sheet to W3C IRC commands. Do you know of one?
[Tue 12:07:21] <manu>	Bohan: Hi, Sean Bohan, product manager for consumer platforms at Evernym, also running Community at Sovrin, also migrating code base to Hyperledger Indy. Working on Project VRM, attendee at IIW over the years. I'm helping to define consumer products based on technology that Evernym is creating. 
[Tue 12:07:24] *	dlongley yeah, Me!
[Tue 12:07:30] *	harlan (~harlan@public.cloak) has joined #vctf
[Tue 12:07:35] *	dlongley sorry, not really :)
[Tue 12:07:53] <manu>	Topic: Agenda Review
[Tue 12:08:07] *	dlongley too much tribal knowledge... needs to get written down somewhere sometime :)
[Tue 12:08:08] <manu>	KimHD: We're going to cover the agenda here - https://lists.w3.org/Archives/Public/public-credentials/2017Jun/0058.html
[Tue 12:08:14] *	Drummond Dave, I'm happy to use you for guidance if you're up for it
[Tue 12:08:42] <manu>	KimHD: We're going to be mostly covering Decentralized Identifiers, RDF dataset canonicalization, and Reputation Systems - Best Practices & Evaluation
[Tue 12:08:47] <manu>	Topic: Action Items
[Tue 12:09:06] <manu>	Kim is working on Poll for priorities on work items, ~3 weeks snapshot poll results for prioritization - [IN PROGRESS]
[Tue 12:09:23] <manu>	Kim working on naming goals, constraints, pitfalls first draft [DONE] - https://docs.google.com/document/d/1H5tO0IRawIHzVnRP2sTbdBA-PUkWgSdcydx2ru2fPHg/edit?usp=sharing
[Tue 12:09:41] <manu>	KimHD: We don't have a lot to discuss on this item this week, still discussion is ongoing on mailing list.
[Tue 12:10:04] <dlongley>	manu: Yes, still in progress, failed miserably on making progress ... Dan and I just need to get on a call and find the magic button.
[Tue 12:10:13] <manu>	Manu to get new chairs privileges on the W3C site and remove old chairs... failing miserably at making progress on that one.
[Tue 12:10:28] <voip-vctf>	18057058651 [SIP/69.65.34.216-0000009b] has joined the conference.
[Tue 12:10:31] <manu>	ChristopherA: First draft of CG Mission Statement for review - DUE JUNE 13th [ON HOLD Re: NAME & MISSION] - https://docs.google.com/document/d/1kxm6yGnGAVgNTLMYft_cz2zW3c1AE8uSCy4i5A6OhG8/edit?usp=sharing
[Tue 12:11:02] <manu>	ChristopherA: Trying to recruit more cryptographers and security reviewers - very valuable contributors, we should ask them about the merger of the two groups. We'll see how that goes.
[Tue 12:11:14] <manu>	Action item for everyone - Approve New Name and Mission Statement - DUE JUNE 27th
[Tue 12:11:34] *	manu has changed the topic to: https://lists.w3.org/Archives/Public/public-credentials/2017Jun/0058.html
[Tue 12:11:38] *	manu it is now! :P
[Tue 12:11:40] <kimhd>	http://w3c.github.io/vctf/meetings/2017-05-30/
[Tue 12:12:11] <manu>	Topic: Current Polls
[Tue 12:12:28] <manu>	Lifecycle of Verifiable claims is front-runner right now... 
[Tue 12:12:46] <manu>	All Verifiable Claims related topics are bubbling to the top... browser API and polyfill is floating to the top...
[Tue 12:13:19] <manu>	KimHD: Linked Data Signatures topic is up high, specific signature suites are spread out at bottom... smattering of votes here and there... Manu had mentioned that we can address those on an as-needed basis.
[Tue 12:13:45] <manu>	KimHD: Does that argue for a separate group? We don't need to discuss today - other thing that stood out, other than Verifiable Claims - data minimization and selective disclosure.
[Tue 12:13:53] <manu>	q+ to ask about questionnaire link
[Tue 12:13:53] <voip-vctf>	manu has been added to the queue: manu
[Tue 12:14:02] <voip-vctf>	16789329012 [SIP/69.65.34.216-0000009c] has joined the conference.
[Tue 12:14:08] <dlongley>	q?
