[2020-12-15T16:59:36.142Z]	<cel>	present+
[2020-12-15T17:00:20.465Z]	<wayne>	present+
[2020-12-15T17:00:43.640Z]	<heathervescent>	present+
[2020-12-15T17:00:56.314Z]	<manu>	present+
[2020-12-15T17:00:59.318Z]	<kimhd>	present+
[2020-12-15T17:01:34.609Z]	<Dmitri_Z>	present+
[2020-12-15T17:01:57.334Z]	<TallTed>	present+
[2020-12-15T17:02:08.612Z]	<JamesChartrand>	present+
[2020-12-15T17:02:25.980Z]	<kimhd>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2020Dec/0080.html
[2020-12-15T17:03:35.706Z]	<Kim>	https://www.w3.org/community/credentials/join
[2020-12-15T17:03:46.096Z]	<Kim>	https://www.w3.org/accounts/request
[2020-12-15T17:03:58.550Z]	<Kim>	https://www.w3.org/community/about/agreements/cla/
[2020-12-15T17:04:16.412Z]	<Kim>	https://w3c-ccg.github.io/meetings/
[2020-12-15T17:04:50.711Z]	<Robbie.Jones@ForgeRock.com>	present+
[2020-12-15T17:04:56.596Z]	<rgrant>	preset+
[2020-12-15T17:05:03.124Z]	<rgrant>	present+
[2020-12-15T17:05:11.315Z]	<rhiaro>	present+
[2020-12-15T17:05:19.191Z]	<agropper>	present+
[2020-12-15T17:05:52.156Z]	<manu>	scribe: manu
[2020-12-15T17:06:22.424Z]	<manu>	Topic: Introductions / Reintroductions
[2020-12-15T17:06:35.064Z]	<manu>	kimhd: Anyone new to the call that would like to introduce themselves?
[2020-12-15T17:06:47.244Z]	<manu>	No takers.
[2020-12-15T17:06:48.171Z]	<manu>	kimhd: Reintroductions, then.
[2020-12-15T17:07:48.287Z]	<manu>	kimhd: Dmitri, do you mind reintroducing yourself?
[2020-12-15T17:08:14.180Z]	<manu>	Dmitri: Hi everyone, Dmitri software Engineer w/ Digital Bazaar -- active in VC/DID/Confidential storage -- contributing to related Javascript libraries.
