[Tue 11:03:01] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Feb/0018.html
[Tue 11:03:02] <dlongley>	scribe: dlongley
[Tue 11:03:10] <voip-vctf>	16106179300 [SIP/69.71.222.196-00000787] has joined the conference.
[Tue 11:03:33] <dlongley>	manu: We're supposed to get an update from Deustche Telekom, but they aren't here yet so we'll push that to later on the agenda.
[Tue 11:03:54] <voip-vctf>	victoriano [SIP/85.62.72.19-00000788] has joined the conference.
[Tue 11:03:56] <dlongley>	manu: Are there any other updates/changes to the agenda?
[Tue 11:04:01] *	Colleen (~Colleen@public.cloak) has joined #vctf
[Tue 11:04:13] <manu>	voip: 787 is ColleenKennedy(Pearson)
[Tue 11:04:13] <voip-vctf>	Associated ColleenKennedy(Pearson) with SIP/69.71.222.196-00000787.
[Tue 11:04:14] <dlongley>	none
[Tue 11:04:21] <manu>	Topic: Plan to Finishing up Interviews
[Tue 11:04:22] <voip-vctf>	victoriano [SIP/85.62.72.19-00000788] has left the conference.
[Tue 11:04:36] <voip-vctf>	victoriano [SIP/90.161.204.253-00000789] has joined the conference.
[Tue 11:05:03] <voip-vctf>	victoriano [SIP/90.161.204.253-00000789] has left the conference.
[Tue 11:05:08] <voip-vctf>	22 [SIP/192.168.1.16-0000078a] has joined the conference.
[Tue 11:05:33] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-0000078c] has joined the conference.
[Tue 11:05:34] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-0000078d] has joined the conference.
[Tue 11:05:39] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-0000078e] has joined the conference.
[Tue 11:05:42] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-0000078d] has left the conference.
[Tue 11:05:42] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-0000078c] has left the conference.
[Tue 11:05:42] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-0000078e] has left the conference.
[Tue 11:05:49] <dlongley>	manu: We have a plan to finish the interviews this week. We've got good coverage on our interviews, the vast majority we wanted to interview responded in some way. The folks with very busy schedules like Vint Cerf and Tim Berner-Lee likely won't have time to talk before we have to report, we've got Bob Sheets and Jeanne Kitchens later this week. John Tibbetts sent a private email that could be used as his interview --- super helpful. Coming from someone involved in this space for many years and answered similar questions from the interview.
