[Fri 14:03:36] <dlongley>	scribe: dlongley
[Fri 14:04:15] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Feb/0020.html
[Fri 14:04:33] <dlongley>	manu: We wanted to start off getting some background from each of you and how you got involved with CTI, etc.
[Fri 14:04:39] <dlongley>	manu: We'd like to know your perspective.
[Fri 14:04:51] <dlongley>	manu: We'll add something to the agenda to talk about what CTI is trying to do as well and then we'll get into the full discussion.
[Fri 14:04:54] <manu>	Topic: Background on Jeanne, Bob, and the Credentials Transparency Initiative
[Fri 14:05:04] *	manu Bob Sheets.
[Fri 14:06:27] <dlongley>	bsheets: I'm a research professor at GW Institute of Public Policy, in addition to this project, I've been working for quite a few ayers, what is the necessary data structure for the credential marketplace that improves transparency and efficiency in the greater marketplace and how you exchange information in credential issuers, holders, [missed] -- I've laid out five different building blocks ... we want make it clear what credentials look like and how they issue and provide information about credential holders and organizations.
[Fri 14:07:11] <dlongley>	jeanne: I'm Jeanne Kitchens [missed] Director at Southern Illinois -- I've worked with Bob on many projects, building on a bigger national picture not just focusing on it in the state of Illinois.
[Fri 14:07:25] *	dlongley sorry, very dense intro to record
[Fri 14:07:28] <dlongley>	manu: If you could give us background on CTI and Lumina that would be good.
[Fri 14:08:58] <dlongley>	bsheets: We are just one of many projects that are being funded by Lumina Foundation and their partners to address how we improve the transparency in the credentialing marketplace including how we more clearly define the connections between credentials. The credentialing marketplace around the world is becoming much mroe complex than it was historically with many different types of creds and ways for individuals to say they have creds through many different platforms not just transcripts for example. We are focused on how do we have infrastructure to allow any cred org to make any comparable info about their creds available to the open marketplace and how to declare relatinoships between their creds and others as part of that process.
[Fri 14:09:56] <dlongley>	jeanne: The problem is the maze of credentials that are currently out there the variety of types the confusion around what is defined and what a credential is... the project is around developing the meta data infrastructure, we say that it must conform to the W3C spec for semantic metadata. Our hope is for this to continue on past the project.
[Fri 14:10:30] <dlongley>	manu: So why the need for a metadata standard? What mechanisms are used today ... you said many different creds today and ways to get them and display them, why is that not good enough? Why do we need a metadata standard, isn't existing tech good enough?
[Fri 14:12:03] <dlongley>	bsheets: In one way, we've had existing metadata structures for narrow bands of traditional creds that have common language and vocab to describe themselves, but the cred marketplace now is seeing much more other types of creds that can't be described in the existing vocabs commonly used and the common currency among creds is moving towards competencies and these haven't been historically represented in a common way even with common creds. We need to develop a vocab that is much more generalized so we can use a consistent vocab to describe the creds. There are certain aspects of creds that are becoming more apparent, including statements about what people should be able to hold and do when holding a cred.
[Fri 14:12:19] <dlongley>	manu: Is the problem only in vocabulary, once you figure that out, will that solve the problem or are there other tech gaps that CTI is looking at right now?
[Fri 14:12:47] <dlongley>	bsheets: I think we also have a situation where people make assertions about each other and third parties make assertions about each other ... and we need to make them available.
[Fri 14:13:41] <dlongley>	jeanne: Spekaing from the project perspective, one clear deliverable is the metadata infrastructure, another is a credential registry that will utilize that infrastructure as an intermediate step, one reason we think this will show value-add with this shared vocab ... we have to do it through a means to store the data. Currently it would be impossible to get all this information to grab it from hundreds of websites.
[Fri 14:14:15] <dlongley>	bsheets: We're working up use cases ... for example, when an individual has a resume and makes an assertion about a credential they hold, historically many employers want to go back and find out what's behind that. The cred org that issued that won't maintain information on it or may not even be around.
[Fri 14:14:53] <dlongley>	bsheets: Imagine where someone has a degree in CS from 1976. We don't have a way for people on the Web to discover and verify what that cred holder is asserting. That info isn't readily available and consistently available. Especially when we have cred orgs that don't have sufficient version control or they may not even be in existence.
[Fri 14:15:13] <manu>	Topic: Problem Statement
[Fri 14:15:15] <dlongley>	manu: Ok, so we've got background and information about CTI. So now we're going to shift focus to the VCTF.
[Fri 14:15:18] <manu>	http://w3c.github.io/vctf/
[Fri 14:15:41] <dlongley>	manu: [points out problem statement]
[Fri 14:16:39] <dlongley>	manu: One of the most important things we do in pre-standardization work is figure out if there's agreement on the problem first before trying to solve it. We've talked to 43 different orgs in healthcare, education, gov't, technology, we've interviewed with 12+ people that are experts involved in credentialing initiatives, etc. We're looking to see whether or not you agree with the problem statement, your general thoughts on it, etc.
[Fri 14:19:27] <dlongley>	manu: Of the mechanisms that exist today where you can express a credential in a digital form on the Web, they tend to be service-centric instead of user-centric. The distinction being who has control over where the data is stored. You can think of a service-centric system you can think of data being tightly coupled to those services. And when you send your data those services necessarily know where you're sending it. If you stored your creds at Google/Facebook/Whatever they would know where you are applying for a job or oyu're in legal trouble or whatever, so on, not a privacy-protecting system. Alternatively, in a user centric system, whenever a credential is issued it is issued to the credential holder. They take it and store it wherever they want to. They could, for example, store it on Google/Facebook/Whatever, or in their corporate environment, their university, their mobile phone, a server in their house, they choose where they want to store it. That doesn't mean the issuer can't revoke the credential, for example, if a university determined someone cheated/there was a mistake the credential can still be revoked.
[Fri 14:19:36] <dlongley>	manu: Does that make sense?
[Fri 14:19:38] <dlongley>	bsheets: Yeah, a lot of sense.
[Fri 14:19:40] <dlongley>	jeanne: Yes.
[Fri 14:20:36] <dlongley>	manu: The assertion we're making is that there is no user-centric standard for verifiable claims and the user isn't in control of this information today (or independent of services). Today there are credentials but services are the middle party and everything flows through them. The other issue there is that a lot of the credentials are stored at that digital identity provider.
[Fri 14:20:41] <dlongley>	q+
[Fri 14:20:41] <voip-vctf>	dlongley has been added to the queue: dlongley
[Fri 14:20:57] <dlongley>	manu: This has knock on effects like vendor lock in, etc.
[Fri 14:21:18] <dlongley>	manu: A variety of other issues arise, your identities are tied very strongly to one service without losing your identity in the process.
[Fri 14:21:26] <manu>	ack dlongley 
[Fri 14:21:26] <voip-vctf>	dlongley has the floor.
[Fri 14:22:01] <manu>	dlongley: I'm going to also offer up another way to look at user-centric vs. service-centric - service centric is mike@google or mike@facebook... whereas user-centric is just mike, and you can take that wherever you want.
[Fri 14:22:53] <dlongley>	manu: As far as the problem statement, we're basically saying that it's very difficult to assert qualifications today. It's difficult to do the equivalent of reaching into your wallet and pull out your driver's license. Hard to do on the Web today. You're also forced to pick certain "wallets" on the Web and once you've picked them, you're locked into those "wallets". You can't move your credentials around.
[Fri 14:23:02] <dlongley>	manu: Does that make sense? Would you frame the problem this way or another way?
