[2021-06-22T15:59:31.548Z]	<Charles_E._Lehner_[cel]>	present+
[2021-06-22T15:59:31.547Z]	<Heather_Vescent>	present+
[2021-06-22T15:59:31.523Z]	<Heather_Vescent>	Agenda: https://w3c-ccg.github.io/meetings/scribe-tool/
[2021-06-22T16:00:19.510Z]	<Leo>	present+
[2021-06-22T16:00:33.533Z]	<mprorock>	present+
[2021-06-22T16:00:51.935Z]	<Manu_Sporny>	present+
[2021-06-22T16:01:05.457Z]	<Jeff_Stephens>	present+
[2021-06-22T16:01:17.358Z]	<Steve_Gance>	present+
[2021-06-22T16:01:30.568Z]	<Mahmoud_Alkhraishi>	present+
[2021-06-22T16:01:31.122Z]	<Wayne_Chang>	present+
[2021-06-22T16:01:32.266Z]	<Jeff_Stephens>	present+
[2021-06-22T16:01:38.049Z]	<Wayne_Chang>	present+
[2021-06-22T16:01:42.883Z]	<Mahmoud_Alkhraishi>	present+
[2021-06-22T16:02:05.963Z]	<manu>	scribe: manu
[2021-06-22T16:02:57.904Z]	<manu>	heathervescent: Welcome to the call today - as all of you know, I love planning and Agendas and we're doing something different today. Agenda-less call, challenge given by Anil. It's out of my comfort zone, but good to step out of comfort zones.
[2021-06-22T16:03:10.399Z]	<manu>	heathervescent: We will have a planned call next week, don't worry. :)
[2021-06-22T16:03:39.453Z]	<manu>	heathervescent: There are interesting ideas in this community, not everyone wants to step up and be on the hook... lower barriers to participation, just see what bubbles up from the community.
[2021-06-22T16:03:58.358Z]	<manu>	heathervescent: That is the UN-agenda for today. We'll go through standard stuff and regular business before jumping in to no Agenda.
[2021-06-22T16:04:16.909Z]	<rgrant>	present+
[2021-06-22T16:04:22.430Z]	<Heather_Vescent>	Join: https://www.w3.org/community/credentials/join
[2021-06-22T16:04:31.556Z]	<manu>	Heather goes over IP Note - you must be CCG member to provide technical input. You don't need to be a paid member. You do need to have a W3C account.
[2021-06-22T16:04:38.549Z]	<Adrian>	present+
[2021-06-22T16:04:43.934Z]	<Heather_Vescent>	Minutes: https://w3c-ccg.github.io/meetings/
[2021-06-22T16:05:22.371Z]	<manu>	heathervescent: If you would like to say something, type q+ to add yourself to the queue.
[2021-06-22T16:05:50.023Z]	<manu>	heathervescent: Please be brief so others can chime in -- but today, be as long-winded as you want. It's unstructured. Meeting held by voice, not IRC, be on topic.
[2021-06-22T16:06:34.783Z]	<manu>	Topic: Introductions and Reintroductions
[2021-06-22T16:06:39.166Z]	<Heather_Vescent>	Introduction List: https://docs.google.com/document/d/1LkqZ10z7FeV3EgMIQEJ9achEYMzy1d_2S90Q_lQ0y8M/edit#heading=h.ngyk8y939osi
[2021-06-22T16:06:41.187Z]	<Chris_Winczewski>	present+
[2021-06-22T16:06:54.305Z]	<manu>	heathervescent: Anyone new that would like to introduce themselves?
[2021-06-22T16:07:03.660Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(openlinksw.com)>	present+
[2021-06-22T16:07:20.068Z]	<JeffO-StL>	Present+
[2021-06-22T16:07:25.365Z]	<manu>	Steve_Gance: I'm in Olympia, Washington, working with Concentric Sky on badging, more interested in Verifiable Credential stuff -- new, listening in, lots of homework to do, listening in, thank you.
[2021-06-22T16:07:25.954Z]	<econnell>	present+
[2021-06-22T16:07:42.526Z]	<manu>	heathervescent: Please feel free to reach out to me directly or CCG 101 group to answer specific questions you might have.
[2021-06-22T16:08:08.500Z]	<manu>	heathervescent: I'm trying to shepherd and help create materials to understand community and how it works so you can contribute. Just shoot me an email or join CCG 101 calls.
[2021-06-22T16:08:11.826Z]	<econnell>	present+
[2021-06-22T16:08:14.859Z]	<manu>	Steve_Gance: Great, thank you.
[2021-06-22T16:08:19.899Z]	<manu>	heathervescent: Any reintroductions?
[2021-06-22T16:08:44.386Z]	<econnell>	next time- my mic is glitchy!
[2021-06-22T16:08:48.227Z]	<David_Lehn>	present+
[2021-06-22T16:09:32.357Z]	<Julien_Fraichot>	present+
[2021-06-22T16:10:21.875Z]	<manu>	agropper: Hi Adrian Gropper, I have a dual role -- CTO of non-profit for Patient Privacy Rights, volunteer there, tiny operation. I also lead an implementation project of the standards in the SSI community as well as authorization-related standards all around healthcare use cases, which I authored for Verifiable Credentials in form of a prescription.
[2021-06-22T16:10:41.044Z]	<manu>	agropper: In W3C invited expert on Privacy, trying to promote interest of consumer here.
[2021-06-22T16:10:53.087Z]	<manu>	Topic: Announcements and Reminders
[2021-06-22T16:10:53.794Z]	<manu>	q+
[2021-06-22T16:11:01.301Z]	<Heather_Vescent>	Announcements: https://w3c-ccg.github.io/announcements/
[2021-06-22T16:11:08.903Z]	<Heather_Vescent>	q?
[2021-06-22T16:11:13.671Z]	<Dmitri_Z>	present+
[2021-06-22T16:11:17.930Z]	<Heather_Vescent>	scribe+
[2021-06-22T16:13:23.169Z]	<Orie>	present+
[2021-06-22T16:13:27.675Z]	<Heather_Vescent>	manu: announcement for the DID WG, the DID core recommendation is in the second candidate recommendation, until mid-July. There were two features that are not getting implemented. A minor nuance in the W3C process, but necessary to be specific and clear. Doing another revision. We are still taking implementations - and have gotten a couple (universal resolver). There is still time to submit an implementation report. We have 20-30 implementations, so this is really good feedback. If all goes well, we will proceed, and vote and ratify as a global standard.
