[Tue 11:05:16] <manu>	scribe: bsletten
[Tue 11:05:23] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Apr/0018.html
[Tue 11:05:59] <voip-cr>	16617480240 [SIP/69.71.222.196-000000a0] has joined the conference.
[Tue 11:06:16] <manu>	voip: a0 is Kerri
[Tue 11:06:16] <voip-cr>	Associated Kerri with SIP/69.71.222.196-000000a0.
[Tue 11:06:22] <KerriLemoie>	Sounds good
[Tue 11:06:29] *	NateOtto has quit (Client Quit)
[Tue 11:06:34] <bsletten>	Manu: Let's change the agenda order since Sunny has to drop off early.
[Tue 11:06:40] <manu>	Topic: Use Cases
[Tue 11:06:50] <manu>	https://docs.google.com/document/d/1GySrTXAYpwa4vDPsGE3BMA42FwIAqAyLGigKuKUTGks/edit
[Tue 11:07:54] *	NateOtto (~textual@c-71-237-170-49.hsd1.or.comcast.net) has joined #credentials
[Tue 11:08:10] <bsletten>	Manu: The Micro use cases document has been updated with all of the content from the current document. The move over happened without incident. Some concern about whether we had the right number of phases. Nate has commented, Dave Longley has commented, Sunny and Kerri have commented. Let's hear from each of you about the document, if you have any concerns, if you think this is a good approach.
[Tue 11:08:52] <bsletten>	Kerri: I like this format a lot. It makes sense, it's easy to read. Similar to other Use Cases doc. I put some comments in. We don't have to get to all of them today. I really like this and think it will help those who are coming in.
[Tue 11:08:58] <NateOtto>	My linphone is crashing over and over -- can I call in on the regular phone?
[Tue 11:09:01] <SLee_>	+1
[Tue 11:09:06] <bsletten>	Manu: Thanks for your comments, Kerri. They are pertinent and good and need to address them.
[Tue 11:09:42] <bsletten>	Longley: +1 what Kerri said. Once we get it into a web page, it will be even more readable. It's a big improvement.
[Tue 11:09:50] <voip-cr>	Hassan Almas [SIP/6004-000000a1] has joined the conference.
[Tue 11:10:34] <bsletten>	Sunny: +1 what Kerri said. I read it thoroughly. It was cohesive and read well. Our use cases fit well here.
[Tue 11:10:38] *	manu NateOtto Thoughts on the micro use cases document?
[Tue 11:10:43] <NateOtto>	I like it
[Tue 11:11:05] <bsletten>	Manu: I am hearing generally positive comments on the document.
[Tue 11:11:11] <voip-cr>	15413668863 [SIP/69.71.222.196-000000a2] has joined the conference.
[Tue 11:11:45] <KerriLemoie>	+1
[Tue 11:11:47] <gkellogg>	q+
[Tue 11:12:04] <bsletten>	Manu: Does everyone feel comfortable on making this our use cases document? Are these operations ordered properly? Can we take this document, clean it up and in a month's time have something that we are comfortable pointing to when what other people to join the work formally.
[Tue 11:12:22] <NateOtto>	I added one set for recipient-initiated sharing flow, which then duplicates 2 steps from the consumer-initiated flow. Is this useful, or should they be refactored.
[Tue 11:12:26] <bsletten>	GKellogg: Are we decided on using Google Docs or should we use ReSpec?
[Tue 11:13:05] <NateOtto>	+1 moving back to ReSpec in order to publish, but I do like Google Docs for collaborating at this scale.
[Tue 11:13:28] <AdrianHB>	+1 on Nate's comment
[Tue 11:13:42] *	halmas (~halmas@216.252.204.51) has joined #credentials
[Tue 11:14:09] <bsletten>	Manu: We find that Google Docs is easier to collaborate with comments. Eventually, Web Annotations will help. This stuff needs to be in a certain format. We need to timestamp these documents when we put them out. My expectation is that we will collaborate in the Google Docs until things settle down and then we'll move over to the ReSpec version and that will be our time-stamped document.
[Tue 11:14:21] <bsletten>	q+
[Tue 11:14:21] *	manu Adrian - you can do /nick AdrianHB
[Tue 11:14:35] *	AdrianHB is now known as AdrianHB
[Tue 11:15:44] <manu>	Brian: Are we suggesting that there could be other use cases emerging in the document?
[Tue 11:16:18] <voip-cr>	Eric Korb [SIP/sip.linphone.org-0000009a] has left the conference.
[Tue 11:16:27] <bsletten>	Manu: We will be adding to the document moving forward. Tim Holborn wants to add a more specific online bullying take down language.
[Tue 11:16:34] <gkellogg>	q+
[Tue 11:16:57] <bsletten>	Manu: There is still a decent amount of work to the document.
[Tue 11:17:33] <bsletten>	GKellogg: Should we cover the WebAppSec use cases to help address their needs?
[Tue 11:17:41] <NateOtto>	Thanks to Manu & Dave for digging into the WebAppSec document on such short notice.
[Tue 11:18:32] <bsletten>	Longley: The WebAppSec spec looks like it was created thinking Login use cases were key, but based on our experience is that Login credentials are simply one tiny use case in a sea of use cases.
[Tue 11:18:49] <bsletten>	Manu: That means we should have a set of login uses cases in our document.
[Tue 11:18:54] <voip-cr>	Eric Korb [SIP/sip.linphone.org-000000a3] has joined the conference.
[Tue 11:19:25] <KerriLemoie>	Adrian is very quiet - or its me.
[Tue 11:19:41] *	manu he's a bit quiet, but I can hear him fairly well.
[Tue 11:19:43] *	dlongley fairly quiet, but i can hear him
[Tue 11:19:58] <bsletten>	Adrian: I wanted to say that this can swing both ways. What they look at as a credential is a user name and password. We look at it as a signature. Maybe there is scope for us to expand our definition of credential to be login credential.
[Tue 11:21:04] <manu>	q+ to bring everyone back to use cases discussion.
[Tue 11:21:42] <bsletten>	Longley: I think we want any api to support both uses. We can get people to adopt the api before they necessarily adopt the credentials work. However, I don't think we want username password as a credential to persist as a long term solution because it isn't a great credential.
[Tue 11:22:04] <bsletten>	Manu: Yes, we need Login use cases. Do they go in WebAppSec documents? Credentials documents? Both?
[Tue 11:22:40] <manu>	PROPOSAL: Switch the primary use cases document over to the micro-use cases approach, concentrate all future use case work into that document.
[Tue 11:22:42] <bsletten>	+1
[Tue 11:22:46] <dlongley>	+1
[Tue 11:22:47] <manu>	+1
[Tue 11:22:47] <gkellogg>	+1
[Tue 11:22:51] <AdrianHB>	+1
[Tue 11:22:52] <NateOtto>	+1
[Tue 11:22:53] <taaz>	+1
[Tue 11:22:54] <SLee_>	+1
[Tue 11:22:54] <KerriLemoie>	+1
[Tue 11:23:04] <manu>	RESOLVED: Switch the primary use cases document over to the micro-use cases approach, concentrate all future use case work into that document.
[Tue 11:22:50] <NateOtto>	Ok, added a quick Login use case to the doc if you want to take look.
[Tue 11:23:29] <manu>	Thank you NateOtto :)
[Tue 11:23:34] <KerriLemoie>	Nice work on this doc!
[Tue 11:23:42] <manu>	Topic: WebAppSec Credential Management API
[Tue 11:23:54] <manu>	Initial email to list is here: https://lists.w3.org/Archives/Public/public-webappsec/2015Apr/0097.html
[Tue 11:24:10] <manu>	The proposed spec is here: https://w3c.github.io/webappsec/specs/credentialmanagement/published/2015-04-FPWD.html
[Tue 11:24:20] <manu>	WebAppSec use cases are here: https://w3c.github.io/webappsec/usecases/credentialmanagement/
