[Tue 11:04:41] <manu>	scribe: bsletten
[Tue 11:05:10] <bsletten>	manu: This is an official VCTF call. It is being recorded and minuted.
[Tue 11:05:15] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0050.html
[Tue 11:05:22] *	Richard_Varn (~Richard_Varn@public.cloak) has joined #vctf
[Tue 11:05:46] <voip-vctf>	bblfish [SIP/sip2sip.info-00000664] has joined the conference.
[Tue 11:06:09] *	jimg (~4b839cc9@public.cloak) has joined #vctf
[Tue 11:06:13] <voip-vctf>	bblfish [SIP/sip2sip.info-00000664] has left the conference.
[Tue 11:06:22] <bsletten>	manu: We'll talk about the individual interviews from the experts we are speaking to. We are hearing about their experiences so we can avoid some of the problems they have encountered. We need to discuss how to respond to their feedback and we need to discuss the draft charter we have.
[Tue 11:06:41] <manu>	Topic: Interview Narratives So Far
[Tue 11:06:57] <manu>	Brad Hill's input - http://w3c.github.io/vctf/meetings/2016-01-08/
[Tue 11:06:59] <bsletten>	Manu: We have had input from Brad Hill.
[Tue 11:07:25] <bsletten>	Manu: These people are providing input in their personal capacity. Brad works for Facebook, but he's not speaking for them.
[Tue 11:07:31] <manu>	Jeff Hodges' input: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0048.html
[Tue 11:07:39] <bsletten>	Manu: Same thing with Jeff Hodges who is with PayPal, but his input is his own.
[Tue 11:07:51] <voip-vctf>	bblfish [SIP/sip2sip.info-00000666] has joined the conference.
[Tue 11:07:56] <bsletten>	Manu: Jeff has been involved in a variety of identity standards.
[Tue 11:08:07] <voip-vctf>	Rob Trainer [SIP/192.168.61.110-00000668] has joined the conference.
[Tue 11:08:15] <manu>	Harry Halpin's input: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0049.html
[Tue 11:08:19] <bsletten>	Manu: Harry Halpin is providing input based on his personal experiences, not official W3C input.
[Tue 11:08:29] <manu>	David Singer's input: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0051.html
[Tue 11:08:38] <bsletten>	Manu: The latest one is from David Singer.
[Tue 11:08:46] <voip-vctf>	16106179300 [SIP/69.71.222.196-00000669] has joined the conference.
[Tue 11:08:54] *	bblfish (~bblfish@public.cloak) has joined #vctf
[Tue 11:09:17] <bsletten>	Manu: We have a number of other interviews to have.
[Tue 11:09:33] <bsletten>	Manu: The input we have gotten back is starting to form a narrative. David Singer's summary is the best one so far.
[Tue 11:10:08] <bsletten>	Manu: One of the things that is frustrating is that we are getting feedback from people involved in the space who are too busy to look into what we are working on but are providing high level thoughts.
[Tue 11:10:10] *	ShaneM completely understands not having enough time
[Tue 11:10:29] <bsletten>	Manu: As an example, "We've been down this path before, why are we doing it again?"
[Tue 11:11:10] <manu>	We outline clearly what the differences are here: http://w3c.github.io/vctf/#design-approaches
[Tue 11:11:12] <bsletten>	Manu: The VCTF page makes it clear what is different about this approach (e.g. User-Centric vs Service-Centric approaches). We outline clearly what the differences are.
[Tue 11:12:03] <bsletten>	Manu: Some of the people who are providing input didn't understand this distinction. David Singer also stressed that we shouldn't just focus on payments (also include education, health care, etc.)
