[Tue 11:03:58] <NateOtto>	scribe: NateOtto
[Tue 11:04:20] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015May/0003.html
[Tue 11:04:21] <NateOtto>	manu: Let's get the administrivia out of the way
[Tue 11:04:41] <NateOtto>	manu: We skipped last week, because all were so busy, but we have a number of things to get up to speed with this week.
[Tue 11:05:45] <NateOtto>	manu: Update on Open Badges release, Groningen Declaration Meeting, WebAppSec API update, Gates Foundation released Level 1 project which touches credentials stuff a bit. Credentials WG charter will be discussed in NYC -- it's on the agenda; Next steps: Selecting a new chair for the group to lead us into the WG work, figuring out priorities for the next few weeks.
[Tue 11:05:51] <NateOtto>	manu: Any other updates to agenda?
[Tue 11:06:10] <manu>	Topic: Introduction to Richard Varn
[Tue 11:06:33] <NateOtto>	Richard: I'm a distinguished presidential appointee, leading the credentials initiative for ETS
[Tue 11:07:31] <NateOtto>	Richard: Has been a legislator, CIO for a state, city, federal projects, and a university, and has worked in his own consulting practice. IT development projects for 35 years. Intersection of policy, law, technologies. On credentials, has been working on how credentials break things apart.
[Tue 11:07:36] <voip-cr>	16092160944 [SIP/69.71.222.196-0000017e] has joined the conference.
[Tue 11:08:26] <NateOtto>	manu: We're hoping over the next couple weeks to bring Richard up to speed in the group and get him prepped so that when the Credentials WG is set up, he could assume the role of chairing that group, along with a co-chair TBD
[Tue 11:08:46] <NateOtto>	manu: Richard has a long history of work in the credentials space.
[Tue 11:08:46] <manu>	voip: 17e is Laura
[Tue 11:08:47] <voip-cr>	Associated Laura with SIP/69.71.222.196-0000017e.
[Tue 11:08:55] <bsletten>	"I was a legislator" = 11 years as a Senator! Wow. Welcome, Richard.
[Tue 11:09:24] <NateOtto>	manu: Richard, who you are most likely to be working with closely is gkellogg -- in the role of W3C staff contact.
[Tue 11:09:31] *	gkellogg hi Richard!
[Tue 11:09:36] <NateOtto>	manu: NateOtto from Concentric Sky, Badge Alliance
[Tue 11:09:58] <NateOtto>	manu: bsletten long time Linked Data/ REST expert, who speaks to thousands upon thousands of developers each year
[Tue 11:10:08] <NateOtto>	manu: any questions for Richard?
[Tue 11:10:18] <manu>	Topic: Open Badges 1.1 Release
[Tue 11:10:20] <manu>	scribe: manu
[Tue 11:10:32] <NateOtto>	http://openbadgespec.org/history/1.1.html
[Tue 11:11:04] <manu>	Nate: Here's a quick rundown of the 1.1 release - we've adapted open badges to be a Linked Data format in JSON-LD - w/o losing backwards compat for 1.0 - people can start issuing open badges as Linked Data credentials.
[Tue 11:11:23] <voip-cr>	16617480240 [SIP/69.71.222.196-0000017f] has joined the conference.
[Tue 11:11:36] *	kerrilemoie (46bcb31d@gateway/web/freenode/ip.70.188.179.29) has joined #credentials
[Tue 11:11:37] <manu>	Nate: As this group moves forward, Badge Alliance wants to stay aligned and work on a 2.0 credential - may break backwards compat to align credentials with this group.
[Tue 11:11:44] <manu>	voip: 17f is Kerri
[Tue 11:11:44] <voip-cr>	Associated Kerri with SIP/69.71.222.196-0000017f.
[Tue 11:12:04] <manu>	Nate: We're looking into important features in badging space - interested in issuing Linked Data badges.
[Tue 11:12:27] <manu>	Brian: Have you had feedback yet on the changes? Has the community shown interest/concerns?
[Tue 11:12:50] <manu>	Nate: The process of moving to 1.1 was long - started investigating in early June of last year - talked to issuer platforms, users, foundations, funders about what they needed.
