[Tue 11:06:22] <manu>	scribe: dlongley
[Tue 11:06:27] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Feb/0023.html
[Tue 11:07:13] <stonematt>	Our agenda for today: https://lists.w3.org/Archives/Public/public-credentials/2017Feb/0023.html
[Tue 11:07:58] <manu>	+1 to Agenda...
[Tue 11:07:59] <dlongley>	stonematt: Any changes to the agenda?
[Tue 11:08:09] <Varn>	+1 on agenda
[Tue 11:08:31] <jonnycrunch>	+1, but quick review of 1-5
[Tue 11:08:35] <dlongley>	ChristopherA: I'd like to talk about some questions related to the portable reputation kit and being able to talk about evidence or the source of your attribution in some fashion. The main thing I want to figure out is if it's a future item, not figure out how to do it.
[Tue 11:09:04] <dlongley>	ChristopherA: It's fairly short so add as convenient.
[Tue 11:09:10] <dlongley>	stonematt: Let's throw it in around #3.
[Tue 11:09:16] <dlongley>	ChristopherA: Great.
[Tue 11:09:25] <dlongley>	stonematt: Any other changes?
[Tue 11:09:33] <dlongley>	none
[Tue 11:09:44] <manu>	q+ Introductions
[Tue 11:09:44] <voip-vctf>	manu has been added to the queue: Introductions
[Tue 11:09:59] <dlongley>	manu: Yeah, we have at least one, maybe two new people today.
[Tue 11:10:04] <dlongley>	manu: Getting intros would be good.
[Tue 11:10:10] <manu>	Topic: Introduction to Abbas Ali from R3
[Tue 11:10:18] *	Mattlarson (~Mattlarson@public.cloak) has joined #vctf
[Tue 11:10:29] <manu>	voip: 17e is MattLarson
[Tue 11:10:29] <voip-vctf>	Associated MattLarson with SIP/sip.linphone.org-0000017e.
[Tue 11:10:35] <dlongley>	abbas: I just joined, this is my first call. I work at a company called R3, we're a distributed ledger tech company focusing on financial services. Looking at KYC on our Corda platform.
[Tue 11:10:51] <dlongley>	abbas: Based in NY, looking at using the work you've done around Verifiable Claims for use in product and curious to learn more.
[Tue 11:10:55] <dlongley>	stonematt: Great, welcome to the group.
[Tue 11:11:03] <dlongley>	abbas: Thanks.
[Tue 11:11:08] <manu>	voip: connections?
