[Tue 11:04:05] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Aug/0013.html
[Tue 11:04:45] <dlongley>	scribe: dlongley
[Tue 11:04:45] <dlongley>	manu goes over agenda.
[Tue 11:04:51] *	chewie (~Mark@public.cloak) has joined #vctf
[Tue 11:05:02] <dlongley>	manu: We have a new participant in the group joining for the first time today from KouponMedia.
[Tue 11:05:13] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-000000e5] has joined the conference.
[Tue 11:05:13] <dlongley>	manu: We had a nice meeting with Bob in San Jose last week.
[Tue 11:05:32] <dlongley>	manu: We'll do an intro to him at the beginning of the call. Any other additions to the agenda?
[Tue 11:05:39] <dlongley>	gropper: I've joined the call as well.
[Tue 11:05:52] <dlongley>	manu: Ok, great, we'd like an intro to you as well after Bob.
[Tue 11:06:02] <manu>	Topic: Introduction to Bob Burke, Koupon Media
[Tue 11:06:20] <manu>	voip: e1 is AdrianGropper
[Tue 11:06:21] <voip-vctf>	Associated AdrianGropper with SIP/69.65.34.216-000000e1.
[Tue 11:06:40] <voip-vctf>	Matthew Larson [SIP/sip.linphone.org-000000e6] has joined the conference.
[Tue 11:06:51] <voip-vctf>	14105315457 [SIP/69.65.34.216-000000e7] has joined the conference.
[Tue 11:06:55] <dlongley>	Burke: Hello everyone, pleasure to be here, I appreciate all the work done here. I'm CTO of KouponMedia, been doing digital offers space for over 5 years now. Interest in VC is an opportunity for digital offers. We find a lot of clients are interested in apps and the mobile web experience and VC help there.
[Tue 11:07:00] <manu>	Topic: Introduction to Adrian Gropper, HealthURL
[Tue 11:07:01] *	les (~les@public.cloak) has joined #vctf
[Tue 11:07:10] <manu>	voip: e7 is Les
[Tue 11:07:11] <voip-vctf>	Associated Les with SIP/69.65.34.216-000000e7.
[Tue 11:07:22] <dlongley>	gropper: I am a full time volunteer CTO of a non-profit called Patient Privacy Rights for the past 4 years or so. My focus is on self-sovereign tech for managing private info.
[Tue 11:07:48] <dlongley>	gropper: I'm a long time contributed to user management authorization work out of the pantara group and the helped start UMA under OpenID foundation.
[Tue 11:08:08] <dlongley>	gropper: All based on OpenID Connect and OAuth, I'm trying to put together a demo on all these things and how they fit together under the W3C community model.
[Tue 11:08:29] <manu>	Topic: Verifiable Claims Face-to-Face at IIW
[Tue 11:08:30] <dlongley>	manu: Welcome Bob and Adrian to the group. We're hoping this will be very useful for what you're trying to do.
[Tue 11:09:03] <dlongley>	manu: We reached out to the folks that run II workshop and had a good conversation with them to co-locate or getting space around those days at IIW ... maybe before or after.
[Tue 11:09:13] <manu>	http://www.internetidentityworkshop.com/
[Tue 11:09:17] <dlongley>	manu: Those discussions are still on-going but it's looking like we're going to meet in October and have our first F2F then.
[Tue 11:09:53] <dlongley>	manu: Loosely, just to recap, there's a meeting of the rebooting Web of Trust Workshop the previous week to IIW. We think that it's going to be RWoTW and then VC F2F and then IIW.
[Tue 11:10:16] <dlongley>	manu: That would sandwich us in the middle or we might move it to the end of IIW and co-locate with them, we're still working through the details but this is our only chance to meet this year and co-locate.
[Tue 11:10:32] <dlongley>	Richard: Dates please? :)
[Tue 11:10:32] <KerriLemoie>	https://www.eventbrite.com/e/internet-identity-workshop-xxiii-23-2016b-tickets-25853411249
[Tue 11:10:44] <dlongley>	Dave: It would be 25-27 October for IIW.
[Tue 11:10:57] <dlongley>	manu: We're trying to do RWoT 18-20
[Tue 11:11:28] <dlongley>	manu: So around 21-22 or 27-28 (roughly).
[Tue 11:11:38] <dlongley>	manu: If we go later we lose a couple of folks, Nate, Dan, etc.
[Tue 11:11:52] <dlongley>	Dave: I'll be missing regardless, maybe remote access, I don't know.
[Tue 11:11:57] <dlongley>	manu: So those are the dates we're playing with.
[Tue 11:11:58] <gkellogg>	+1 for end of IIW
[Tue 11:12:04] <dlongley>	manu: 20-21, 21-22, or 27-28.
[Tue 11:12:07] <dlongley>	manu: Of October.
[Tue 11:12:21] <dlongley>	manu: Regardless if we don't co-locate with IIW then we'll have a big session there.
[Tue 11:12:24] <gkellogg>	q+
[Tue 11:12:24] <voip-vctf>	gkellogg has been added to the queue: gkellogg
[Tue 11:12:25] <burn>	+1 before IIW
[Tue 11:13:18] <dlongley>	Tim: Apart from the more centralized versions, the alternatives appear to be blockchain or biometrics, protecting self-sovereignty by computational horsepower ... other things, like IPFS look like a social mechanism for protection. I'm wondering if pointing out that distinction is a good idea.
[Tue 11:13:22] <dlongley>	manu: That's the third agenda topic today.
[Tue 11:13:28] <dlongley>	manu: We'll definitely get to it in the agenda today.
[Tue 11:13:28] <manu>	ack gkellogg 
[Tue 11:13:28] <voip-vctf>	gkellogg has the floor.
[Tue 11:14:12] <dlongley>	gkellogg: People are probably coming from out of town for both RWoT and IIW but probably more for IIW and taking onto IIW may get more participation. That might encourage more adoption. Myself I'm not available at all during RWoT week.
[Tue 11:14:22] <dlongley>	manu: Unfortunately, it's always the case we're going to lose key people with any dates we pick.
[Tue 11:14:27] <dlongley>	manu: Anything else on IIW/F2F?
[Tue 11:15:14] <manu>	topic: Verifiable Claims RC-2 Draft Charter
[Tue 11:15:19] <dlongley>	manu: One more thing -- we're looking for folks to put in some money to help sponsor food and stuff like that for people. We may need money for a venue, my hope is that SpecOps may put some in and we want other orgs to help out. We're co-locating so not that expensive, a couple thousand dollars. Please contribute if you have the means to do so.
[Tue 11:15:25] <manu>	https://lists.w3.org/Archives/Public/public-credentials/2016Aug/0019.html
[Tue 11:15:53] <dlongley>	manu: Wendy Seltzer from W3C management team got back to us with a list of changes she wanted. We responded to everything and made some concessions in the charter without hopefully violating what we're trying to accomplish here.
[Tue 11:16:37] <dlongley>	manu: We sent that out a little more than a week ago, havne't heard back yet, in a holding pattern waiting to hear from W3CM and Microsoft.
[Tue 11:16:46] <dlongley>	manu: Hopefully, Shane, when you talk with Google you can pass this by them as well.
[Tue 11:16:49] <manu>	http://w3c.github.io/webpayments-ig/VCTF/charter/rc-2-diff.html
[Tue 11:16:53] <dlongley>	manu: Here's a diff marked copy in IRC.
[Tue 11:16:59] <dlongley>	manu: It contains the changes that we've made.
