[Tue 11:07:11] <gkellogg>	scribe: gkellogg
[Tue 11:07:20] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Oct/0006.html
[Tue 11:07:52] <gkellogg>	manu: expecting to do some intros today, but they don’t seem to be on the call.
[Tue 11:08:06] <gkellogg>	… We can look at the W3C TPAC presentation and then go into demo.
[Tue 11:08:39] <manu>	Topic: NACS Show
[Tue 11:08:37] <gkellogg>	bsletten: just got back from Las Vegas and spoke to NACS about credentials, and they are interested.
[Tue 11:08:37] <gkellogg>	Manu: Anything we should do/change as a result of your presentations? Are we aligned with their expectations?
[Tue 11:08:37] <gkellogg>	bsletten: Nothing to change, they now know that there is something interesting going on here, tried to get some of them to join.
[Tue 11:09:02] <manu>	Topic: HTTP Signatures
[Tue 11:09:02] <gkellogg>	bblfish: also have stuff to talk about.
[Tue 11:09:21] <manu>	We reved the spec - https://tools.ietf.org/html/draft-cavage-http-signatures-05
[Tue 11:09:25] <bblfish>	ah good thanks
[Tue 11:09:51] <gkellogg>	manu: we have a new version of the HTTP Signatures spec, with minimal changes so it won’t expire. We had a bunch of emails that it had expired and concerned that we wouldn’t take it forward.
[Tue 11:11:52] <manu>	Topic: Introductions to New Members
[Tue 11:11:59] <gkellogg>	Carla: you may know me from Mozilla and Open Badges, noew working with IMS Global.
[Tue 11:12:29] <gkellogg>	… We’re looking at interop within education. We’re looking at Digital Credentials and metadata/criteria needed to build-out Open Badges.
[Tue 11:13:00] <gkellogg>	… There are three different teams working on this, with about 5 months to go. We’re looking at frameworks and requirements for interoperability.
[Tue 11:13:28] <paroneayea>	would it be useful for me to give a brief introduction?
[Tue 11:14:34] <gkellogg>	paroneayea: I’m Chris Webber, working on the W3C Social Web WG. We’re working on ActivityStreams/JSON-LD federation standard for having an experience between decentralized sites. Credentials are important for this.
[Tue 11:15:11] <manu>	Topic: W3C TPAC Credentials DRAFT Presentation
[Tue 11:15:26] <manu>	https://docs.google.com/presentation/d/1ithW3t-ahelw_0jsAbVmhXi5NyRl_-BAW6hMnJmoixc/edit?usp=sharing
[Tue 11:15:26] <Carla>	Hey everybody. Glad to be here. If you would like to connect my contact information is as follows. email: ccasilli@imsglobal.org ; twitter: @carlacasilli ; skype: cmcasilli
[Tue 11:16:09] <gkellogg>	manu: We’re prepping for two presentations at the end of October at TPAC. There’s one on the credentials work; it tries to summarize the survey we sent out; we’re up to 43/60 responses.
[Tue 11:16:32] <gkellogg>	… There’s also data on the anonymized results.
[Tue 11:16:37] <manu>	Anonymized results of survey (43 responses): http://opencreds.org/presentations/2015/w3c-tpac/anonymized.html
[Tue 11:17:33] <gkellogg>	… The responses are randomized and specifics made generic. There are a bunch of graphs which are also in the presentation that underscore the types of capabilities people are looking for.
[Tue 11:18:04] <gkellogg>	… We lead among all the groups that are discussing next-gen payments and related activities.
[Tue 11:18:29] <manu>	Topic: Credentials Reference Implementation Demo
[Tue 11:18:39] *	manu https://join.me/digitalbazaar
[Tue 11:19:13] <gkellogg>	manu: the demo shows the entire credentials eco-system.
[Tue 11:20:17] <gkellogg>	… The eco-system has 3 major actors: issuers (e.g., DMV, Passport, Education Institutes …).
[Tue 11:20:56] <gkellogg>	… Also Identity Providers who store credentials on your behalf.  About anyone can become a provider.
[Tue 11:21:44] <gkellogg>	… And the third group are credential consumers, those who need to see credentials for some form of proof (access to bank account, completion of degree, …).
[Tue 11:22:06] <gkellogg>	… The goal of the group is to be sure that each of the actors plays in a level playing field, and interoperability is key.
[Tue 11:22:33] <gkellogg>	… The demo shows all 3 actors operating; it’s focus on TPAC specifically for the interest of payments.
[Tue 11:22:45] <gkellogg>	… They’ll re-visit the discussion that was tabled over the summer.
[Tue 11:23:14] <gkellogg>	… The first demo is payment-specific. The second is more open/free on Wednesday, that talks about education/healthcare concerns.
[Tue 11:24:12] <gkellogg>	… Entry point is to create an account on an Identity Provider (IDP), such as Google/Facebook/Twitter, but could be school or business.
[Tue 11:24:23] <gkellogg>	… (shows creating an account)
[Tue 11:25:56] <gkellogg>	… Where it deviates from normal sign-up, you get a popup for a polyfill, which gives you a decentralized identifier. The credential is assigned to something that is portable, different from email or social media addresses. This allows the solution to be user-centric so the user is responsible for their own credentials, and not tied to something owned by someone else.
[Tue 11:26:05] <mediaprophet>	+1
[Tue 11:26:15] <paroneayea>	are there links to more decentralized identifiers stuff?
[Tue 11:26:30] <paroneayea>	it being not linked to domains sounds great
[Tue 11:26:43] <gkellogg>	dlongley: My comment is to point out that the window that pops up is something that would be standardized in the future.
[Tue 11:27:14] <gkellogg>	bblfish: you’re thinking of this as part of the credential management API.
[Tue 11:27:23] <gkellogg>	… Is the identifier are URL or a URI?
[Tue 11:27:41] <mediaprophet>	v.bad echo. please turn down speakers...
[Tue 11:27:44] <gkellogg>	dlongley: It’s intended to be a URL or URI with the “did” scheme, that can be fetched.
[Tue 11:28:07] <paroneayea>	I have a question once henry's question is resolved
[Tue 11:28:17] <gkellogg>	… The reason for a new scheme is to create a way of specifying decentralized identifiers. Http URLs are tied to a specific location, so are not appropriate.
[Tue 11:28:42] <gkellogg>	bblfish: If you loose your private key, you can loose access.
[Tue 11:28:48] <gkellogg>	dlongley: we can talk about that later.
[Tue 11:29:36] <gkellogg>	manu: we can also use HTTP URLs, but if you don’t have control of the URL (which you can’t really), that is compatibile with this sytem. We thing that DIDs are a great solution, though.
[Tue 11:30:22] <paroneayea>	interesting
[Tue 11:30:29] <gkellogg>	… Also, if you lose your PK, you can delegate access to the DID to other people or organizations, so that even if you loose your PK, you can update the document with a new key. We don’t thin this suffers from the kinds of problems BitCoin suffers.
[Tue 11:30:49] <gkellogg>	paroneayea: This sounds interesting. Where are these stored, and what is ussed to retrieve a DID?
[Tue 11:31:02] *	ShaneM (~ShaneM@c-50-171-235-149.hsd1.mn.comcast.net) has joined #credentials
[Tue 11:31:42] <gkellogg>	manu: In the future, they’ll be on a WebDHT; this technology has been around for around 15 years. We need to bring the technology on the web Rather than create a new protocol, we can build it on top of HTTP/HTTPS.
[Tue 11:32:26] <gkellogg>	… The way it’s stored is in a DHT, and retrieved using HTTP to hit nodes in the DHT to find the data you’re looking for. In the Polyfill, it’s sotred on authorization.io, with a REST-based API. THat will continue to be exposed in the future.
[Tue 11:33:15] <gkellogg>	bblfish: it will be interesting to make sure we can do this in an orthogonal way, so that WebID could be based on this.
[Tue 11:33:52] <gkellogg>	… We should make sure that HTTP/HTTPS onion-URLs follow the same kind of process so that people can choose the type of system the like, with competition/creativity among providers.
[Tue 11:34:16] <gkellogg>	… IF the main notaion of a WebID is a reference to a person, then it’s powerful enough to cover all these kinds of cases.
[Tue 11:34:19] <mediaprophet>	Does WebID = Agent? or Legal Entity? or Person?
[Tue 11:35:06] <mediaprophet>	FYI: http://www.w3.org/wiki/WebID
[Tue 11:35:13] <gkellogg>	dlongley: what you’re saying is inherent in the design. It’s like a WebID with a URL you follow to get information about the person. There’s a concept of a DID you can choose, so that it follows you around instead of being tied to a particular domain. We support any kind of URL, but we’re showing the DID concept.
[Tue 11:35:40] <gkellogg>	manu: We’re proposing what we think the ideal is, but make sure that it’s open to other solutions.
[Tue 11:36:26] <gkellogg>	… (continues demo) Creating a DID, stored in the browser local storage. This returns a DID back to the IDP.
[Tue 11:36:45] <gkellogg>	… (account created, associated with DID), now I can create credentials)
[Tue 11:37:18] <gkellogg>	… (goes to another site which is an credential issuer). It requires that I log in, and I use my DID.
[Tue 11:37:52] <gkellogg>	… YOu can use crypto, selecting identity (from local storage), which completes login.
[Tue 11:38:24] <gkellogg>	… I then get a drivers licence (shows JSON-LD representation of DL, tied to DID).
[Tue 11:38:55] <gkellogg>	… It has several claims (name, image, birthdate, gender, address, …)
[Tue 11:39:32] <gkellogg>	… Also includes signature linking to DMV as signer.
[Tue 11:40:04] *	erkorb_rm (~eric.korb@110.sub-70-192-142.myvzw.com) has joined #credentials
[Tue 11:40:13] <gkellogg>	… You create the Credneital and it goes back to IDP, who stores credentials. The signer has no idea what IDP is used to store the credential.
[Tue 11:41:15] <gkellogg>	… Middle-ware intermediates moving the credneital between sites, so it’s never used to connect one service with another directly. You can store PII once things are complete, so that it can’t be later hacked.
[Tue 11:41:38] <mediaprophet>	What do browsers need to do to make this work if anything?
[Tue 11:42:06] <paroneayea>	I don't have questions, but I think I need to get a list of all relevant specs
[Tue 11:42:24] <voip-cr>	19088126557 [SIP/69.71.222.196-00000188] has joined the conference.
[Tue 11:42:29] <paroneayea>	and read through them
[Tue 11:42:39] <erkorb_rm>	that's ekorb SIP
[Tue 11:42:55] <gkellogg>	bblfish: You go do the DMV, login with your ID (DID), they sign a document saying that the person with the DID has various properties. The browser accepts the Cert in the browser, where it can be stored at an IDP, or stay in the browser.
[Tue 11:43:18] <gkellogg>	… When someone asks for your DL, you can send it from your IDP or browser.
[Tue 11:43:36] <mediaprophet>	cheers\
[Tue 11:43:52] <erkorb_rm>	dlongley, joim.me info?
[Tue 11:44:06] <mediaprophet>	https://join.me/digitalbazaar
[Tue 11:44:11] <gkellogg>	manu: goes to a credential consumer. You create a bank account, they can pre-fill information by submitting a drivers licence, a cert version can ensure that information is not fraudulant.
[Tue 11:44:36] *	NateOtto (~textual@c-71-237-170-49.hsd1.or.comcast.net) has joined #credentials
[Tue 11:44:55] <gkellogg>	… I submit my DL, it goes back to middleware, where I select my identity, which takes me to my IDP. They see that someone has asked for the DL, but they don’t know who.
[Tue 11:45:20] <voip-cr>	Nate Otto [SIP/sip2sip.info-00000189] has joined the conference.
[Tue 11:45:57] <gkellogg>	… If it know who was asking, they could violate your privace. The IDP gets a request, and the user can select it in their browser, with verifiable data.
[Tue 11:46:32] <gkellogg>	… I click “done”, and the browser takes the credential back, and asks to be sure to send it back to requester, and the user sends the credentials from the browser.
