[Tue 11:04:42] <dlongley>	scribe: dlongley
[Tue 11:04:51] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jun/0035.html
[Tue 11:05:18] *	Ian waves from the Sunny W3C offices deep within the International Space Station
[Tue 11:05:33] <dlongley>	manu: We have Ian Jacobs with us from W3C, Staff Contact for Web Payments work, a long time W3C veteran. We'll be talking about what the Web Payments IG is going and how our work here will impact it. We can also discuss use cases with any remaining time.
[Tue 11:05:33] <voip-cr>	15152298984 [SIP/69.71.222.196-000002e0] has joined the conference.
[Tue 11:05:42] <manu>	voip: 2e0 is Richard
[Tue 11:05:43] <voip-cr>	Associated Richard with SIP/69.71.222.196-000002e0.
[Tue 11:05:52] <dlongley>	manu: Any changes to the agenda?
[Tue 11:06:17] <dlongley>	none
[Tue 11:06:24] <manu>	Topic: Web Payments IG and Credentials
[Tue 11:06:51] <dlongley>	manu: As many of you know, the Web Payments IG has been looking at credentials lately, there's a topic at the NYC F2F next week where we'll be trying to extract use cases around payment credentials.
[Tue 11:08:20] <dlongley>	manu: I thought that it would be a good idea to get Ian on the call to introduce ourselves to him and let him hear about the work that's happening here. As a reminder, we all care about credentials very much and see it succeed. If we can do anything about credentials at W3C, we want to constructi t to be successful. We're not trying to make any decisions today, just getting background on Ian's thinking on credentials and integrating it with the Web Payments work and feedback from orgs in the education and healthcare space and what they'd like to see as far as standards are concerned over the next few years.
[Tue 11:08:37] <dlongley>	manu: Ian if you could give background on yourself and what you'd like to see that would be great, sorry to put you on the spot.
[Tue 11:09:19] <dlongley>	Ian: Manu has talked to me a bit about the work of the group and I claim only superficial knowledge of it and would like to learn more.
[Tue 11:10:37] <dlongley>	Ian: I'm the lead for the W3C staff for the Web Payments IG and where we are currently, having launched in Oct., is that we want to come to consensus on charters for new WGs to integrate payments further into the Web. We are meeting next week face to face where we will be discussing the work that has gone into our use cases and capabilities which are functional modules for enabling the use cases, and determining which groups, new or existing, should work on the priority capabilities we've identified for version 1. Part of the discussion is around identity requirements.
[Tue 11:11:09] <Ian>	https://www.w3.org/Payments/IG/wiki/Main_Page/FTF_June2015/Credentials
[Tue 11:12:31] <dlongley>	Ian: Manu has brought to the IG's attention that a lot of effort has gone into designing an approach originally rooted in payments use cases but then has migrated closer to educational and healthcare use cases. Manu and I have discussed that we an hour long conversation within the IG to solidify and get a share understanding of the financial industry's use cases. We've heard horror stories of the cost of creating accounts for high networth individiuals and creating a second account is just expensive as the first one, and credentials could lower costs. Manu has looked up the penalties involved in making sure identities are checked, and credentials can help with that. There are some prominent use cases in there already like making it easier for users to provide data to merchants like age and so forth.
[Tue 11:14:28] <dlongley>	Ian: Another one is for merchants/users to discuss a new payment option and there's a contractual set up beyond the technical integration and credentials could reduce costs for establishing contracts for new payment mechanisms. We want the IG to have confidence in proposing to the W3C work that would have benefit to the payments industry. That's where we are today. I know people have expressed interest in this and once, as an IG, we have a better handle on the payments use cases then we can all come together and look at opportunities to collaborate, depending on overlapping needs, and possibly move forward as a block which would be great, or as independent groups because that would be more beneficial.
[Tue 11:14:36] <dlongley>	Ian: I'll pause there to see if there are questions, etc.
[Tue 11:15:00] <dlongley>	Manu: I think that's a very accurate description of where we are. If you're interested in asking questions do `q+` and you'll get on the queue.
[Tue 11:15:24] <dlongley>	manu: The main concern the group had voiced was in the coming together, figuring out how, if we can come up with a unified way to address all these use cases.
[Tue 11:15:50] <dlongley>	manu: And what the timeline would be, yet. We'd do F2F in NYC, get use cases, derive capabilities out of the use cases, then once we have that, see if there's overlap with the other credentials use cases.
[Tue 11:16:40] <manu>	Credentials Use Cases: https://docs.google.com/document/d/1GySrTXAYpwa4vDPsGE3BMA42FwIAqAyLGigKuKUTGks/edit
[Tue 11:17:20] <dlongley>	Ian: You hit something on the head more clearly than we had discussed previously. Let me explain how we're using the terms. The use cases are stories, probably very similar to the work the CG has done. We want to say "so and so is paying through a website or using an NFC connection, etc." Right now it's the consumer+merchant experience. The capabilities is more about the technology needs we have for the use cases. The next level down will be requirements like "the user interface needs to be accessible, etc."
[Tue 11:17:58] <dlongley>	Ian: I think if we end up having the same capabilities then that suggests we have a lot of overlap and the work can go on in concern. That's less about use cases and more about capabilities.
[Tue 11:18:03] <dlongley>	Ian: That seems like a good thing to aim for.
[Tue 11:18:08] <manu>	voip: 2e1 is Laura
[Tue 11:18:09] <voip-cr>	Associated Laura with SIP/69.71.222.196-000002e1.
[Tue 11:18:25] *	Ian impressed by dlongley scribing. :)
[Tue 11:18:36] <dlongley>	Manu: I don't think this group has seen the trust and capabilities document yet.
[Tue 11:18:42] <dlongley>	manu: We can focus there.
[Tue 11:18:54] <manu>	Manu: DRAFT DRAFT Trust and Identity capabilities for Web Payments: https://docs.google.com/document/d/1FbHscEFUA1P6Frm9h-98bgBF8oCNNu3_0BZh8l7Aa0c/edit#heading=h.yekwqd5iky7q
[Tue 11:19:20] <dlongley>	Ian: We're wrestling with the content and the display of it, and it will likely evolve again. Looking at it now is a good place to start but expect a lot of changes between now and 10 days from now.
[Tue 11:19:58] *	Varn (9051550a@gateway/web/freenode/ip.144.81.85.10) has joined #credentials
[Tue 11:20:05] <dlongley>	manu: I think there's a high degree of overlap in the trust capabilities with the Web Payments and what will come out of the Credentials CG. Surely there's still work to do to establish if/where overlap is. But for the first time I think we know what we're going to use to determine if we need one or more groups on credentials.
[Tue 11:20:30] <dlongley>	manu: Ian, do you expect, if we're able to have a capability to capability comparison in late June/July then we could write a charter by September?
[Tue 11:21:04] <eric_r_korb>	manu, would that get inline for TPAC in Japan?
[Tue 11:21:04] <manu>	yes
[Tue 11:22:23] <dlongley>	Ian: For me, we're trying to have a draft charter for a payments architecture, that the interest group is happy with by end of next week. At that point, in terms of process, the staff will review it, go over resource allocation, etc. There will be a membership review and a typical slowdown in August. I think having a charter that the IG is happy with in mid June would have its first F2F in Oct 2015. It takes a couple of weeks before the group launches because of the advisory committee. It's feasible to get a draft committee together in August/Sept and have work start in November. Yes, that's feasible, there's the issue of the summer slowdown (US summer slowdown).
[Tue 11:23:57] <dlongley>	Richard: This is Richard Varn with ETS. I've been working on identity security/management, for ~30 years now. I wanted to provide a perspective on that there's a real synergy between healthcare/educational credentials. I also work with [missed] retail federation to work on this. I bring a lot of different perspectives. I think to the extent possible, we would want the standards and components we use in healthcare and educationat KYC in the financial industry. We'd want it to be common, largely, and extensible where needed.
[Tue 11:24:57] <dlongley>	Ian: I think where we can get broad consensus on a common standard is only benefits. In our particular case, the Credentials CG, as a community, has been discussing this for quite some time and the payments industry has not. And we need to get up to speed, basically, at which point there's a lot of good will to seek a common solution without saying what it is, but seeking it is our daily bread at W3C, so I don't hear any pushback on that.
[Tue 11:28:32] <manu>	q+ to underscore Richard's point about deployment happening in education/healthcare first, financial industry after that.
[Tue 11:28:33] <voip-cr>	manu has been added to the queue: manu
[Tue 11:28:40] <dlongley>	Richard: Here are some of the issues why we haven't moved quickly as a group, society. The people that are the custodians of records that are accepted broadly ... I would say the bear anonymous use, by and large, of credentials... the people who manage the records are document and paper based, there are few standards that they all follow, and we need to use them as a point of reference for all tehse different systems and it's difficult to get them to help. That's one problem. On the ID site. On the money side, there are a lot of financial industry conflicts, GOTR stuff. So many people have strong interest in how that works they don't want to be disadvantaged. The third issue has been the overlap with privacy, security, access, and use. That's where you end up with a discussion we've been having here, for example with short term anonymous credentials that go away quickly, etc. And you have to have discussions with privacy advocates, etc. Those are some of the backend problems we have to address, even if we have common capabilities, etc. there is a lot of drag that pulls us back. In the education/healthcare area, I'm excited that a lot of the same problems can be addressed in the same way and mroe people in those industries are aligned to help each other vs. in other industries they are adversaries. The interest in solving the problems are well aligned and what we can get done there can offer potential common solutions that people can ride on in other things.
[Tue 11:29:06] <dlongley>	Richard: To be able to go somewhere else in the same organization even helps ("we're doing this with driver's licenses, let's do it with birth records").
[Tue 11:29:23] <dlongley>	Richard: While education/healthcare may actually help lead the way to a more common, quicker standardization method.
[Tue 11:29:26] <gkellogg>	+1 to what Richard said
[Tue 11:29:48] *	Ian who is speaking?
[Tue 11:29:54] *	manu Eric Korb is speaking.
[Tue 11:30:05] *	manu the previous speaker was Richard Varn.
[Tue 11:30:15] <dlongley>	Eric: I'd like to dovetail some of the things he's talking about with regards to work in the healthcare industry and banking. We're starting to see the emergence of healthcare banking. Banks can do their healthcare and insurance payments now. As it gets broader ...
[Tue 11:30:23] <dlongley>	Eric: credentials will get even more important.
[Tue 11:30:52] <dlongley>	Eric: We're seeing credentialing in the issuer and fulfiller of the prescription -- and that ties into payments with the person at the counter.
[Tue 11:31:06] <dlongley>	Eric: Those things could be validated at the point of sale, etc. banking and healthcare merging.
[Tue 11:31:58] <manu>	ack manu
[Tue 11:31:58] <voip-cr>	manu has the floor (to underscore Richard's point about deployment happening in education/healthcare first, financial industry after that.).
[Tue 11:32:08] <dlongley>	Eric: I think other overlaps with education are well documented. Everything starts with education. Everything else is heartbeat, so on, that we don't want to put on the internet so we need robots to handle our ID. We need to validate robots that are working on our behalf and credentials need to be validated on those claims and typically those claims are based on our education or other things about us we've achieved.
[Tue 11:32:37] <eric_r_korb>	Also, I'd add that students pay their tution almost exclusively online.
[Tue 11:33:03] <eric_r_korb>	plus, gov't student loans are tramsmitted electronically.
[Tue 11:33:50] <Ian>	q+
[Tue 11:33:51] <voip-cr>	Ian has been added to the queue: Ian
[Tue 11:34:06] <dlongley>	Manu: I think deployment is well care before the horse, however, Richard has been doing this for 30 years, Eric has been getting this stuff deployed and we can see what needs to be done for deployment and we know why past deployments have failed in the financial institutions. And many of that is because sharing KYC, to a certain degree, has been seen as a disadvantage. Education/healthcare has seen credentials as a big help, don't know if we can see that up to recently at least with financial industry. Richard and Eric has said you need a willing coalition/set of orgs to go and deploy this technology and get it adopted. Education primarily and the healthcare sector want to do deployments. The financial industry may jump on the bandwagon but aren't the first players.
[Tue 11:34:36] <manu>	ack Ian 
[Tue 11:34:37] <voip-cr>	Ian has the floor.
