[Tue 11:09:51] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015May/0008.html
[Tue 11:11:12] <manu>	scribe: dlongley
[Tue 11:11:35] <dlongley>	Eric: I don't know if we'll get into this today, but I have been trying to test the version 1.1 of openbadges and have hit a few snags.
[Tue 11:11:45] <dlongley>	Manu: We'll put that on the agenda.
[Tue 11:11:59] <manu>	Topic: Recap of 2015 Groningen Declaration Meeting
[Tue 11:12:08] <dlongley>	Manu: Eric, Sunny, can you give us a rundown?
[Tue 11:12:50] <dlongley>	Sunny: This was my first time going to the summit, I found out about this in October, at this point I think I brought it to the attentino of this group, we got Victoriano Giralt to join this CG.
[Tue 11:14:53] <dlongley>	Eric: So it was also my first time attending, it's only the second-third year of the summit, it's invitation only. I found the breadth of initiatives going on around the world creating interop between systems... I think from 50000 ft up viewpoint, the bigger issue for international people and the US is that concern is around governance of the data not the technology. The tech is being developed in Finland, and in the Arab states and Australia. All of them working on interop between systems, primarily being done in deep pipes of database, machine to machine private pipes. I didn't see anything that was going to be similar to what we were doing from the perspective of a standard where disparate systems could communicate in a network without needing to know about each other via direct pipe.
[Tue 11:16:50] <dlongley>	Eric: I think the work they are doing is creating interop between systems and moving data from place to place is important especially with governance concerning privacy, release, and control of the data. During my presentatino, I made the point, on behalf of the CG, that this is great work you're doing and at some point you're going to want to communicate with systems that you don't know about and dont' have DB access and we're working on something ubiquitous for credential issuance/comsumption. Lots of players there, parchment, etc. Invited players to join our initiative here. 3-4 will be looking at what we're doing soon. I know that Richard just said he was speaking with Parchment, their CEO sat in all the presentations I did and they are very interested in the work.
[Tue 11:17:21] <dlongley>	Eric: It was a fantastic exchange, lots of opportunity for networking and hearing what's going on. All the presentations were video taped and will be made public, I'll post that when it goes live.
[Tue 11:17:30] <dlongley>	Manu: Sunny, anything to add?
[Tue 11:18:41] <erok210>	+1 Sunny
[Tue 11:18:55] <dlongley>	Sunny: Largely I agree with Eric, it was mostly formal education institutions talking, developing techs around transcripts, talking about interop with them and how they migrate and are portable. The digital credential conversation is really new to them and Eric and I were the new folks who were envisioning how this would all work in the future. I think a lot of these folks were interested in policy, were in a policy track, not technology. The majority of the group were policy oriented.
[Tue 11:19:02] <dlongley>	Sunny: Not as many technical minds, would be my opinion.
[Tue 11:19:40] <dlongley>	Manu: So it was worth it to go there and tell them what we're doing, do we expect any of them to join in the work and would it be worth going back next year to give them an update, etc?
[Tue 11:20:36] <dlongley>	Sunny: Victoriano, the president, is fully aware of this effort and is very much a part of this CG and patched into the work we're doing. They are definitely interested in this, and our work is going to make a lot of progress in a year and it would be worthwhile to see how our efforts come together in a year. Because we have members of that group in our CG they'll get progress updates throughout the year.
