[Tue 11:06:31] <gkellogg>	scribe: gkellogg
[Tue 11:06:31] *	JohnT is now known as John_Tibbetts
[Tue 11:06:37] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000cf] has left the conference.
[Tue 11:06:38] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jul/0019.html
[Tue 11:07:11] <gkellogg>	manu: intro to new folks, update on recruiting, then go into documents: vision, glossary, use cases, capabilities, and road map.
[Tue 11:07:27] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d0] has joined the conference.
[Tue 11:07:29] <manu>	Topic: Introduction to Andrew
[Tue 11:07:37] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d0] has left the conference.
[Tue 11:07:53] <manu>	voip: 00d1 is SunnyLee
[Tue 11:07:53] <voip-cr>	Associated SunnyLee with SIP/192.168.1.226-000000d1.
[Tue 11:08:00] <gkellogg>	Andrew: I’m a PhD student at Georgia State. I’m interested in distributed hash tables.
[Tue 11:08:22] <gkellogg>	manu: we think we’re going to have quite a bit of work to do with distributed hash tables for discovery.
[Tue 11:08:39] <gkellogg>	… We’re hoping that Brendan and Andrew will be able to help us out.
[Tue 11:08:40] <voip-cr>	SunnyLee [SIP/192.168.1.226-000000d1] has left the conference.
[Tue 11:09:13] <manu>	Topic: Introduction to John Tibbetts
[Tue 11:09:51] <gkellogg>	Tibbetts: I’m an independent, working with different enterprises; ususally in systems integration. In the last decade working exclusively in higher education.
[Tue 11:10:18] <gkellogg>	… I’m active with IMS global, who adopted JSON-LD some time ago. We have a number of integration facilities and standards activities based on JSON-LD.
[Tue 11:10:22] <voip-cr>	Dave Lehn [SIP/6003-000000d2] has joined the conference.
[Tue 11:10:27] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d3] has joined the conference.
[Tue 11:10:38] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d3] has left the conference.
[Tue 11:10:44] <gkellogg>	… One of the groups is tools interoperability; the predomenant way of integrating different systems with digital asset providers.
[Tue 11:10:57] <voip-cr>	Sunny Lee [SIP/192.168.1.226-000000d5] has joined the conference.
[Tue 11:11:23] *	SL22 (18829a82@gateway/web/freenode/ip.24.130.154.130) has joined #credentials
[Tue 11:11:26] <gkellogg>	… Some of the machinery for that is getting a bit long-in-the-tooth. We’re looking for beter ways to identify identitiy providers and so forth
[Tue 11:12:03] <gkellogg>	manu: great to have one of the core people from IMS LTI here!
[Tue 11:12:08] <manu>	Topic: Recruiting
[Tue 11:12:31] <gkellogg>	manu: To get a W3C working group started, we need to demonstrate sufficient interest in the work.
[Tue 11:12:36] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d6] has joined the conference.
[Tue 11:12:47] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d6] has left the conference.
[Tue 11:13:05] <gkellogg>	… THis involves recuriting people to be sure that once the WG is chartered, it’s on a good path to success. Typically W3C does this, but since we’re eager to go, they’ve asked us to help.
[Tue 11:13:12] <voip-cr>	14057083343 [SIP/69.71.222.196-000000d7] has joined the conference.
[Tue 11:13:39] <gkellogg>	Eric: I’ve been working on the list and have sent out invites to all my contacts. I sent out 5 directly to individuals.
[Tue 11:13:51] <gkellogg>	… I know that 4 of them say they’ve completed the process.
[Tue 11:14:03] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d8] has joined the conference.
[Tue 11:14:13] <gkellogg>	… I also sent out followup to some of the 100 other contacts, but I’m concerned that they’re getting stuck in SPAM.
[Tue 11:14:14] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000d8] has left the conference.
[Tue 11:14:21] <gkellogg>	… I don’t have access to the result of the survey.
[Tue 11:14:36] <gkellogg>	… I’ve got a good template; if anyone would like to use it, I’d be happy to share.
[Tue 11:15:25] <manu>	voip: 00d7 is Brent
[Tue 11:15:25] <voip-cr>	Associated Brent with SIP/69.71.222.196-000000d7.
[Tue 11:16:02] <gkellogg>	Eric: it would be nice to get access to the stats.
[Tue 11:16:12] <gkellogg>	manu: not trying to keep it secret, but …
[Tue 11:16:34] <gkellogg>	Eric: I’ll update the summary spreadsheet.
[Tue 11:16:55] <gkellogg>	manu: good news is that from yesterday, we have in 7 new responses, so we’re close to tipping over the 5% response W3CM would like.
[Tue 11:17:06] <voip-cr>	Rob Trainer [SIP/192.168.61.4-000000db] has joined the conference.
[Tue 11:17:20] <gkellogg>	… Supposedly, 5% of membership is enough, but they’d also like to see new members.
[Tue 11:17:43] <gkellogg>	Eric: I’ll send out another ping, but don’t want to pester people.
[Tue 11:18:13] <gkellogg>	manu: (reviews recent responses from spread-sheet).
[Tue 11:19:08] <manu>	scribe: NateOtto
