[Tue 11:04:15] <manu>	scribe: dlongley
[Tue 11:04:26] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Feb/0024.html
[Tue 11:04:56] <dlongley>	manu: We have a discussion on decentralized identifiers we're adding to the agenda as the second item.
[Tue 11:05:19] <dlongley>	manu: Anything else to add?
[Tue 11:05:37] <manu>	voip: 3162 is Laura
[Tue 11:05:44] <manu>	voip: 7501 is Brent
[Tue 11:05:47] <NateOtto>	I updated the vocabulary section of Mark's roadmap doc a small amount. https://docs.google.com/document/d/1Tm5E9GBlWZsftEPiTu0ZZsGqwqYwtOOWwsYIU-cbQwQ/edit# -- could be part of the Badge Alliance JSON context update.
[Tue 11:06:00] <manu>	Topic: Introduction to Laura Fowler
[Tue 11:06:35] <dlongley>	laura: I'm a principal enterprise architect for ETS. I've been asked to sit on this meeting in place of Bill Gebert. He's unable to join on a weekly basis, I'm sitting in for him and working with our teams on badges and credentials.
[Tue 11:06:49] <manu>	Topic: Introduction to Brent Shambaugh
[Tue 11:07:13] *	Victoriano (5aa1ccfd@gateway/web/freenode/ip.90.161.204.253) has joined #credentials
[Tue 11:07:15] <dlongley>	brent: I've been spending the past year or two with the Web Payments CG, I'm here because I'm looking at applications to enterprise and engineering tools and integrating Linked Data with those things and payments too.
[Tue 11:07:30] <manu>	Topic: Web Payments IG Face-to-Face
[Tue 11:07:39] <manu>	https://www.w3.org/Payments/IG/wiki/Meeting_Summary_Feb2015
[Tue 11:07:58] <manu>	voip: 0046 is Eric
[Tue 11:07:59] <voip-cr>	Eric is now associated with SIP/sip.linphone.org-00000046.
[Tue 11:08:11] <dlongley>	manu: The minutes should be out for the F2F Web Payments IG meeting in Utrecht in a week or so.
[Tue 11:08:19] <dlongley>	manu: There's a summary link in IRC for an overview of what happened.
[Tue 11:08:48] *	bshambaugh (~quassel@adsl-108-249-247-144.dsl.okcyok.sbcglobal.net) has joined #credentials
