[Tue 11:05:04] <manu>	scribe: dlongley
[Tue 11:05:08] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jun/0000.html
[Tue 11:05:23] <voip-cr>	Nate Otto [SIP/sip2sip.info-00000255] has joined the conference.
[Tue 11:05:39] <dlongley>	manu: We've had a bump in the road in far as the Credentials WG is concerned, so we'll discuss that.
[Tue 11:05:54] <dlongley>	manu: Then the other items on the agenda.
[Tue 11:05:59] <dlongley>	manu: Any other changes to the agenda?
[Tue 11:06:04] <dlongley>	none
[Tue 11:06:06] <manu>	Topic: Credentials WG Charter and WPIG
[Tue 11:06:23] <manu>	https://docs.google.com/document/d/1xfdzFahQpaQKGL4aOvePlIdsJO6Q5OJkPgSIxtUx9Vc/edit
[Tue 11:06:25] <dlongley>	manu: If folks have seen, there have been a number of comments on the Credentials WG charter.
[Tue 11:06:49] <dlongley>	manu: The comments to pay attention to in particular are by Ian Jacobs. He's the W3C staff contact. He's in charge of putting together the official charter that will go up for a vote.
[Tue 11:07:18] <dlongley>	manu: His mandate seems to be from the W3C CEO and the domain lead. Which is the payments activity domain. It seems to be about making credentials as narrowly focused on payments as possible.
[Tue 11:07:40] <dlongley>	manu: At first he said it would be nearly impossible to get anything focused on education, etc. through that didn't mention/focus on payments.
[Tue 11:08:03] <NateOtto>	Thanks for raising those objections, manu & dlongley
[Tue 11:08:26] <dlongley>	manu: So we said it's nice that you want a focused charter but the payments folks haven't been the ones doing the work or the deploys of experimental tech or anything today. So writing a charter that's focused on payments and not education, etc. then that would cause a problem with the gruops involved today.
[Tue 11:08:42] <manu>	Credentials presentation for Web Payments face-to-face in NYC: https://www.w3.org/Payments/IG/wiki/Main_Page/FTF_June2015/Credentials
[Tue 11:08:43] <dlongley>	manu: We're trying to figure out the conflict and what the F2F presentation on credentials will be about.
[Tue 11:09:43] <dlongley>	manu: I was asked to put together a presentation that focuses primarily on payments credentials to bring the payments group up to speed because they haven't talked credentials at all until like last week. So they are way behind the curve with respect to what we're doing here. They believe that working on credentials for education and healthcare would present an entirely different solution than for payments. So they don't understand the unified tech we've been putting together here.
[Tue 11:09:50] <dlongley>	manu: So a lot of education needs to happen.
[Tue 11:10:15] <dlongley>	manu: We're trying to figure out a way to get a charter written such that it gets buy in from W3C staff, CEO, and membership that care about payments but also doesn't alienate the education and healthcare sector.
[Tue 11:10:51] <dlongley>	manu: What we need from this group is some fairly loud voices... or some fairly strong statements about your organization believes the charter should focus on. Should it focus on education, healthcare, payments, or balance all of those, or what.
[Tue 11:11:23] <dlongley>	manu: Right now it's just me saying what I think this group believes in general which has been that the same solution works in all the verticals and we shouldn't just focus on a particular vertical. We have and need a unified solution.
[Tue 11:11:29] <dlongley>	manu: But they are just hearing it from me, not from anyone else.
[Tue 11:12:41] <dlongley>	richard: I always thought this was attractive being inside the payments work. We can lead with payments thinking, but we can do it where there aren't so many players here in other verticals so we can further. We are going to pilot it with education and healthcare and you can see how it would work with web payments more effectively with credentials. I thought that was our pitch?
[Tue 11:12:46] <dlongley>	manu: That's exactly right, and that's our pitch.
[Tue 11:12:51] <dlongley>	richard: Who is pushing back?
[Tue 11:13:00] <NateOtto>	That's a great pitch. The nontraditional education market is ready and itching to experiment.
[Tue 11:13:05] <dlongley>	manu: So the pushback is coming from the W3C staff and a couple of folks in the financial industry.
[Tue 11:13:39] <dlongley>	manu: I believe it's because they don't understand what we have here, they haven't been keeping themselves up to date with what we've been doing and they don't understand its full impact. And because of that they can't understand how what we're doing in healthcare/education can work in payments.
[Tue 11:13:49] <dlongley>	manu: We need you to say that exact same thing from someone who isn't me.
[Tue 11:13:56] <dlongley>	manu: They need to hear it from you and from Accreditrust, etc.
[Tue 11:14:15] <dlongley>	Nate: Should we be sharing these comments on that charter document or is there a better place?
[Tue 11:15:15] <dlongley>	manu: I thought this group, ETS, Accreditrust, etc. would review a charter doc from Ian and discuss there. But Ian said he doesn't believe we're at the point we can write a charter to even get comments on. He also said he thinks the charter we've put together wouldn't fly at W3C. But I don't think he knows the whole picture yet.
[Tue 11:15:31] <dlongley>	manu: I think the wiki page may be one of the places we could do it, I think the credentials W3C charter may be another place to put in feedback.
[Tue 11:16:04] <mediaprophet>	does the payments use of credentials include a signed digital receipt?  ie: capacity to embed information about the purchase?
[Tue 11:16:13] <dlongley>	manu: So I'm saying I dont' know where feedback should go right now, but I'm starting to think that we should really have a call between Ian, the staff domain lead for payments, EriK Andersen and Bloomberg, Richard, Eric, Sunny and Nate, put everyone on the call and get them to hear we don't think it's the right direction from someone other than m.e
[Tue 11:16:26] <dlongley>	manu: I think that's the best bet later this week or early next week.
[Tue 11:16:35] *	dlongley mediaprophet: we're on a call at the moment
[Tue 11:16:44] <mediaprophet>	i’m on IRC
[Tue 11:16:46] <dlongley>	richard: I think that will work, maybe friday.
[Tue 11:16:49] <Eric>	+1 Korb too
[Tue 11:16:55] <SunnyLee>	works for me
[Tue 11:17:01] <SunnyLee>	depends on time
[Tue 11:17:03] <SunnyLee>	though
[Tue 11:17:11] *	dlongley mediaprophet: we're scribing the call here on IRC i mean.
[Tue 11:17:16] <voip-cr>	16092160944 [SIP/69.71.222.196-00000256] has joined the conference.
[Tue 11:17:20] *	dlongley what you're typing will go into the minutes.
[Tue 11:17:54] <mediaprophet>	i mean, i haven’t dialed in; but was participating via IRC in anycase.  let me know if you’d prefer me to simply observe.
[Tue 11:17:58] *	gkellogg_ (~gkellogg@cpe-172-89-103-137.socal.res.rr.com) has joined #credentials
