[Tue 11:04:29] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Feb/0080.html
[Tue 11:05:13] <dlongley>	scribe: dlongley
[Tue 11:04:37] <manu>	voip: 8af is HeatherVescent
[Tue 11:04:37] <voip-vctf>	Associated HeatherVescent with SIP/69.71.222.196-000008af.
[Tue 11:05:00] <voip-vctf>	17278084918 [SIP/69.71.222.196-000008b3] has joined the conference.
[Tue 11:05:13] <dlongley>	manu: Any updates/changes to the agenda?
[Tue 11:05:16] <manu>	voip: 8b3 is DavidEzell
[Tue 11:05:16] <voip-vctf>	Associated DavidEzell with SIP/69.71.222.196-000008b3.
[Tue 11:05:22] <dlongley>	none
[Tue 11:05:29] *	sasutton (~sasutton@public.cloak) has joined #vctf
[Tue 11:05:29] <manu>	Topic: Review Web Payments IG Vote on VCTF
[Tue 11:05:42] <manu>	https://www.w3.org/2016/02/22-wpay-minutes.html#item09
[Tue 11:05:45] <dlongley>	manu: So, how did the VCTF presentation go at the F2F?
[Tue 11:05:48] <voip-vctf>	sasutton [SIP/192.168.1.118-000008b4] has joined the conference.
[Tue 11:06:06] <dlongley>	manu: David I'd like to hear your thoughts on this after I give an overview. David is the co-chair for the Web Payments Interest Group at W3C.
[Tue 11:06:15] <voip-vctf>	sasutton [SIP/192.168.1.118-000008b4] has left the conference.

[Tue 11:06:41] <dlongley>	manu: We had a vote, its was 20+ (we stopped counting at 23) in favor, zero opposed to writing a draft charter and gathering use cases to be presented to everyone we've interviewed and W3C membership in general.
[Tue 11:06:47] <voip-vctf>	sasutton [SIP/192.168.1.118-000008b5] has joined the conference.
[Tue 11:06:49] <dlongley>	manu: Really good news, we get to go to the next stage in the process.
[Tue 11:06:59] <dlongley>	q+ erok210
[Tue 11:06:59] <voip-vctf>	dlongley has been added to the queue: erok210
[Tue 11:07:03] <dlongley>	q-
[Tue 11:07:03] <voip-vctf>	undefined isn't on the speaker queue.
[Tue 11:07:07] *	rtrainer (~rtrainer@public.cloak) has joined #vctf
[Tue 11:07:14] <voip-vctf>	sasutton [SIP/192.168.1.118-000008b5] has left the conference.
[Tue 11:07:33] <dlongley>	manu: We need to circulate the charter and get feedback on it. If it's been killed off at this point it's because the W3C membership doesn't want to proceed.
[Tue 11:07:38] <voip-vctf>	Rob Trainer [SIP/71.121.236.226-000008b6] has joined the conference.
[Tue 11:07:50] <dlongley>	eric: [Plays clapping audio]
[Tue 11:08:05] <voip-vctf>	Rob Trainer [SIP/71.121.236.226-000008b7] has joined the conference.
[Tue 11:08:05] <voip-vctf>	Rob Trainer [SIP/71.121.236.226-000008b6] has left the conference.
[Tue 11:08:24] <voip-vctf>	16097341186 [SIP/69.71.222.196-000008b8] has joined the conference.
[Tue 11:08:32] <voip-vctf>	Rob Trainer [SIP/71.121.236.226-000008b7] has left the conference.
[Tue 11:08:48] <voip-vctf>	Rob Trainer [SIP/71.121.236.226-000008b9] has joined the conference.
[Tue 11:09:06] <dlongley>	manu: Yes, congrats to everyone. We learned a lot of things at the F2F in terms of understanding why people have been fighting this, not all that I can share right now, but some of those concerns are that it's a hard problem and the chances of achieving it aren't as high as we'd like. People think the work is really important but there's a non-trivial chance of failure even if we a very limited charter and scope of work.
[Tue 11:09:15] <voip-vctf>	Rob Trainer [SIP/71.121.236.226-000008b9] has left the conference.
[Tue 11:09:19] <voip-vctf>	sasutton [SIP/192.168.1.118-000008ba] has joined the conference.
[Tue 11:09:20] <dlongley>	manu: Anything you want to add David?
[Tue 11:09:46] <voip-vctf>	sasutton [SIP/192.168.1.118-000008ba] has left the conference.
[Tue 11:10:17] <ShaneM>	q+ to talk about reputational risk and W3C
[Tue 11:10:17] <voip-vctf>	ShaneM has been added to the queue: erok210, ShaneM
[Tue 11:10:24] <dlongley>	David: No, I think you've got that right. I think your statement was a tad on the grim side, a lot of people do think this work is important. I want to express that almost everyone in the room deeply appreciates the amount of work and due diligence this group has done. If it weren't for this herculean effort that this task force is putting in we probably wouldn't be where we are so congrats on that.
[Tue 11:10:26] <manu>	ack erok210
[Tue 11:10:26] <voip-vctf>	erok210 has the floor.
[Tue 11:11:47] <dlongley>	David: As far as where we are, this grain runs very deep. We should go ahead and create a charter for review, it's a calculated risk -- if the charter goes too far there will be pushback and if not far enough, not good enough to get us started. Speaking as myself, it's important that we try to find that comfortable spot, because once the work has begun it's a whole different ball game. Right now the IG has to do a balancing act but once the group starts it becomes semi-autonomous and doesn't go through a middle person. So people shouldn't feel like it's forever that you'll be under the shadow of the IG.
[Tue 11:11:47] <voip-vctf>	sasutton [SIP/192.168.1.118-000008bf] has joined the conference.
[Tue 11:11:48] <manu>	ack ShaneM 
