[Tue 12:02:27] <ChristopherA>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Oct/0092.html
[Tue 12:02:32] <voip-ccg>	447796447184 [SIP/69.65.34.216-0000054b] has joined the conference.
[Tue 12:02:38] <JoeAndrieu>	voip: 54c is JoeAndrieu
[Tue 12:02:38] <voip-ccg>	Associated JoeAndrieu with SIP/69.65.34.216-0000054c.
[Tue 12:03:06] *	dlongley moses
[Tue 12:03:12] <manu>	voip: 546 is MosesMa
[Tue 12:03:13] <voip-ccg>	Associated MosesMa with SIP/69.65.34.216-00000546.
[Tue 12:03:19] <manu>	voip: 547 is Drummond
[Tue 12:03:19] <voip-ccg>	Associated Drummond with SIP/69.65.34.216-00000547.
[Tue 12:03:24] *	JanCamenisch (~JanCamenisch@public.cloak) has joined #ccg
[Tue 12:03:35] <voip-ccg>	41447248111 [SIP/69.65.34.216-0000054e] has joined the conference.
[Tue 12:03:50] <manu>	voip: 548 is ChristopherA
[Tue 12:03:50] <voip-ccg>	Associated ChristopherA with SIP/69.65.34.216-00000548.
[Tue 12:03:57] *	AndrewH (~AndrewH@public.cloak) has joined #ccg
[Tue 12:03:59] <manu>	voip: 54b is DavidC
[Tue 12:04:02] <voip-ccg>	Associated DavidC with SIP/69.65.34.216-0000054b.
[Tue 12:04:10] <manu>	voip: 54e is JanCamenisch
[Tue 12:04:10] <voip-ccg>	Associated JanCamenisch with SIP/69.65.34.216-0000054e.
[Tue 12:04:31] <manu>	voip: 54a is Susan
[Tue 12:04:31] <voip-ccg>	Associated Susan with SIP/69.65.34.216-0000054a.
[Tue 12:04:44] <voip-ccg>	12508889474 [SIP/69.65.34.216-0000054f] has joined the conference.
[Tue 12:05:04] <AndrewH>	voip: 54f is AndrewH
[Tue 12:05:04] <voip-ccg>	Associated AndrewH with SIP/69.65.34.216-0000054f.
[Tue 12:05:11] <manu>	voip: connections?
[Tue 12:05:11] <voip-ccg>	Conference participants are: RyanGrant [SIP/69.65.34.216-00000541], Michael Lodder [SIP/evernym.onsip.com-00000542], David I. Lehn [SIP/6003-00000543], Manu Sporny [SIP/6000-00000544], Dave Longley [SIP/6002-00000545], MosesMa [SIP/69.65.34.216-00000546], Drummond [SIP/69.65.34.216-00000547], ChristopherA [SIP/69.65.34.216-00000548], 15109081066 [SIP/69.65.34.216-00000549], Susan [SIP/69.65.34.216-0000054a], JoeAndrieu [SIP/69.65.34.216-0000054c],
[Tue 12:05:11] <voip-ccg>	DavidC [SIP/69.65.34.216-0000054b], JanCamenisch [SIP/69.65.34.216-0000054e], AndrewH [SIP/69.65.34.216-0000054f].
[Tue 12:05:28] <voip-ccg>	nage [SIP/sip2sip.info-00000550] has joined the conference.
[Tue 12:05:32] <manu>	scribe: manu
[Tue 12:05:40] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Oct/0092.html
[Tue 12:06:04] <manu>	ChristopherA: Agenda today is a little loose, this is our first real meeting after both RWoT5 and IIW. 
[Tue 12:06:33] <manu>	ChristopherA: Let's do introductions and reintroductions... work items... discussion for possible new work items... we may want to work on.
[Tue 12:06:46] <voip-ccg>	DavidC [SIP/69.65.34.216-0000054b] has left the conference.
[Tue 12:06:58] <manu>	ChristopherA: We may also talk about credential handler polyfill.
[Tue 12:07:14] <manu>	ChristopherA: There was also discussion on DID spec hardening at IIW, we could add that to the end.
[Tue 12:07:22] <manu>	ChristopherA: Any new folks on the call today?
[Tue 12:07:32] <manu>	No new people, community is settling again into a regular set of participants.
[Tue 12:07:36] <manu>	Topic: Reintroductions
[Tue 12:08:04] <manu>	Jan: Hi everyone, I'm Jan - worked a lot on anonymous credentials and cryptographic algorithms for that.
[Tue 12:08:30] <manu>	Jan: Currently working with Sovrin/Evernym folks on defining a format for the crypto interfaces for credentials that we can agree on algorithms for that.
[Tue 12:08:41] <manu>	Topic: W3C TPAC
[Tue 12:09:10] <manu>	ChristopherA: TPAC Meeting coming up - opportunities to spend some time on Wednesday presenting on Credentials CG and Verifaible Claims.
[Tue 12:09:13] <manu>	q+ to talk to that a bit.
