[2020-04-21T16:09:09.506Z]	<Balazs>	present+
[2020-04-21T16:09:29.914Z]	<MosesMa>	present+
[2020-04-21T16:09:44.717Z]	<MosesMa>	are we still doing that?
[2020-04-21T16:10:23.954Z]	<korsimoro>	present+
[2020-04-21T16:10:40.151Z]	<justin_r>	present+
[2020-04-21T16:11:17.324Z]	<JoeAndrieu>	present+
[2020-04-21T16:11:41.542Z]	<agropper>	present+
[2020-04-21T16:11:55.591Z]	<heathervescent>	present+
[2020-04-21T16:12:12.328Z]	<jonathan_holt>	present+ jonathan_holt
[2020-04-21T16:12:20.424Z]	<AnthonyRonning>	present+
[2020-04-21T16:12:41.276Z]	<ChristopherA>	present+
[2020-04-21T16:13:57.495Z]	<markus_sabadello>	present+
[2020-04-21T16:14:10.010Z]	<identitywoman_>	present+
[2020-04-21T16:14:14.034Z]	<tayken>	present+
[2020-04-21T16:14:14.843Z]	<drummond_>	present+
[2020-04-21T16:15:27.496Z]	<JoeAndrieu>	noise
[2020-04-21T16:15:31.250Z]	<dlehn>	voip-ccg: noise?
[2020-04-21T16:15:35.631Z]	<Orie>	inaudible.
[2020-04-21T16:15:48.452Z]	<Orie>	rofl...
[2020-04-21T16:16:26.675Z]	<drummond_>	voip: b44 is drummond
[2020-04-21T16:16:36.318Z]	<Gurvinder>	qq+
[2020-04-21T16:16:46.490Z]	<Gurvinder>	q+
[2020-04-21T16:16:46.600Z]	<heathervescent>	Not available
[2020-04-21T16:17:14.142Z]	<JoeAndrieu>	ack gurvinder
[2020-04-21T16:17:22.930Z]	<Kelly>	This is Kelly, I can scribe
[2020-04-21T16:17:25.210Z]	<ottonomy>	present+
[2020-04-21T16:17:29.444Z]	<chriswinc>	present+
[2020-04-21T16:17:37.481Z]	<drummond_>	Thanks Kelly
[2020-04-21T16:17:39.650Z]	<Kelly>	Cooper
[2020-04-21T16:17:48.056Z]	<Orie>	present+
[2020-04-21T16:17:50.259Z]	<by_caballero>	present+
[2020-04-21T16:17:52.120Z]	<Kelly>	I'm here with Rules - Drummond
[2020-04-21T16:18:11.931Z]	<Julien_Fraichot>	I am
[2020-04-21T16:18:56.620Z]	<Kelly>	Introductions: Reintroductions. First time on call... This is the credentials community group of the W3c. Several attendees are working with the C-19 initiative to update on what we are working on. The group is new to the call. Lucy Yang - C-19 Communications Stream.
[2020-04-21T16:19:01.292Z]	<jonathan_holt>	I can re-introduce myself and my new role
[2020-04-21T16:19:02.090Z]	<identitywoman_>	present+
[2020-04-21T16:19:38.210Z]	<Gurvinder>	i used such interface about 20 years ago, rusty now. just prompt me when to chime in as co-lead of the CCI Use Case workgroup.
[2020-04-21T16:19:43.681Z]	<Tom_S___USAA_>	present+
[2020-04-21T16:20:28.831Z]	<Kelly>	Eric Shiel - New to the call, works in blockchain. Kevin Poulson - through C-19. Not a stranger to the group. Monitors activities - discussions about digital signatures. Here today about C-19 defencer.
[2020-04-21T16:20:44.051Z]	<JeffO-StL>	present+
[2020-04-21T16:21:16.311Z]	<Kelly>	As part of introductions - pick one person - Johnathan Holt. Medical professional - working on IP ID DID method. Chief med officer of Consensys Health.
[2020-04-21T16:21:35.632Z]	<drummond_>	Congratulations Mr. Crunch!
[2020-04-21T16:21:36.051Z]	<JoeAndrieu>	q?
[2020-04-21T16:21:46.330Z]	<adamjlemmon>	present+
[2020-04-21T16:21:46.961Z]	<JoeAndrieu>	https://w3c-ccg.github.io/announcements/
[2020-04-21T16:21:53.510Z]	<joel>	present+
