[Tue 11:05:44] <manu>	scribe: bsletten
[Tue 11:05:50] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jun/0061.html
[Tue 11:06:44] <manu>	Topic: Terminology Poll
[Tue 11:06:45] <voip-vctf>	19082515136 [SIP/69.65.34.216-000003ef] has joined the conference.
[Tue 11:06:50] <manu>	https://www.opavote.com/vote/6609369386975232
[Tue 11:07:02] <voip-vctf>	Associated Eric Korb with SIP/69.65.34.216-000003ef.
[Tue 11:07:14] <bsletten>	Manu: Last week we called a poll on terminology. If you have not filled out the poll please do so as soon as possible. It closes tomorrow. We need anyone who has an opinion to weigh in on that.
[Tue 11:07:25] <voip-vctf>	16122174726 [SIP/69.65.34.216-000003f0] has joined the conference.
[Tue 11:07:33] <ShaneM>	voip: 3f0 is ShaneM
[Tue 11:07:33] <voip-vctf>	Associated ShaneM with SIP/69.65.34.216-000003f0.
[Tue 11:08:05] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-000003f1] has joined the conference.
[Tue 11:08:13] <bsletten>	Manu: We are not trying to make permanent decisions, we are just trying align our terminology before sending the documents off.
[Tue 11:08:35] <voip-vctf>	12125583175 [SIP/69.65.34.216-000003f2] has joined the conference.
[Tue 11:08:39] <bsletten>	Manu: We did it this way because we were pressed for time and didn't have time for multiple polls.
[Tue 11:08:49] <Stuart>	Anyone else having incoherent sound?
[Tue 11:08:54] <bsletten>	Manu: Response is pretty good but still submit your votes for the poll.
[Tue 11:08:57] *	dlongley audio is good for me
[Tue 11:09:11] <manu>	voip: 3f2 is RebeccaSimmons
[Tue 11:09:11] <voip-vctf>	ChristopherAllen [SIP/69.65.34.216-000003e8] has left the conference.
[Tue 11:09:11] <voip-vctf>	Associated RebeccaSimmons with SIP/69.65.34.216-000003f2.
[Tue 11:09:19] <manu>	Topic: Implementer Commitment Summary
[Tue 11:09:28] <manu>	http://w3c.github.io/webpayments-ig/VCTF/implementers/
[Tue 11:09:39] <voip-vctf>	15109081066 [SIP/69.65.34.216-000003f3] has joined the conference.
[Tue 11:10:28] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-000003df] has left the conference.
[Tue 11:10:57] *	Rebecca (~Rebecca@public.cloak) has joined #vctf
[Tue 11:10:57] <bsletten>	Manu: For those that filled out the initial poll on whether or not they agree with the direction of the work, problem statement, deliverables, etc. A number of people are said that they are interested in implementing the standards. We have a new  poll that closes  quickly with a healthy set of responses so far. We are looking for commitment by  organizations with big reach to express interest in deploying these standards.
[Tue 11:11:08] <manu>	Topic: Verifiable Claims Architecture
[Tue 11:11:09] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-000003f4] has joined the conference.
[Tue 11:11:36] <voip-vctf>	Stuart Sutton [SIP/sip2sip.info-000003f4] has left the conference.
[Tue 11:11:36] <bsletten>	Manu: This is the primary discussion point for today. We have between three and four proposals on the table depending on how you look at it.
[Tue 11:12:23] <bsletten>	Manu: We have used an architecture for a long time that we've discussed but have never written up in a concise way. We want to give the W3C Membership something that they can easily understand what we are doing.
[Tue 11:12:25] <manu>	http://w3c.github.io/webpayments-ig/VCTF/architecture/
[Tue 11:13:14] <bsletten>	Manu: We have circled this diagram to a number of people and collected that input to create a separate diagram to find consensus among the positions. We want a coherent view of the architecture.
[Tue 11:13:16] <voip-vctf>	16097341186 [SIP/69.65.34.216-000003f6] has joined the conference.
[Tue 11:14:14] <bsletten>	Manu: One of the things we found was that it was very difficult and label all of the information. The diagram got very cluttered. The second set of comments were about the information flow diagrams (directionality, push/pull, perspective, etc.)
[Tue 11:14:44] <dlongley>	https://docs.google.com/drawings/d/1M2cfMOCbXmMhg8Ar2YeCiRhMsJK-hzkCf1L_hJKMOHY/edit
[Tue 11:14:57] <bsletten>	Manu: In order to try to reconcile this, we tried multiple approaches. dlongley sat down and took a look at creating a unified diagram with the information flows (at this link).
